account_no,holder_name,holder_address,bank_name,account_type,opened_date,avg_monthly_deposit_pkr
PK36-8828880201,S.Bangash,مکان 208 گلی 17 D Ground Faisalabad,Bank Alfalah,Savings,2022-04-07,241877
PK41-3107629753,Asad Saddozai,مکان 315 گلی 37 University Town Peshawar,Askari Bank,Foreign Currency,2024-10-26,24726
PK81-1301983878,Sadia Abbasi,"House No. 14, Gali 32, Shah Rukn-e-Alam, Multan",Bank Alfalah,Foreign Currency,2025-01-06,2880837
PK87-8125799633,Mian Sadia Abbasi,"House No. 14, Gali 32, Shah Rukn-e-Alam, Multan",Allied Bank,Savings,2018-10-04,4470402
PK51-4098778503,Syed Rashid Khan,"House 11, Street 40, Johar Town, Lahore",Bank Alfalah,Savings,2020-08-09,2629313
PK75-1849785476,Rashid خان,H#11 St-40 JoharTown Lahore,Bank Alfalah,Savings,2021-02-17,4129509
PK14-2967767888,Umar Tarar,"House No. 322, Gali 37, Westridge, Rawalpindi",Allied Bank,Savings,2019-08-29,4991570
PK32-5551344695,Sardar Arsalan Bhatti,"House No. 40, Gali 9, Madina Town, Faisalabad",JS Bank,Savings,2025-05-10,57719
PK42-7565609083,Lubna Rajput,H#54 St-39 MadinaTown Faisalabad,JS Bank,Foreign Currency,2019-09-12,89032
PK85-4469755877,Ubaid Yousafzai,"House No. 303, Gali 28, North Nazimabad, Karachi",JS Bank,Savings,2018-02-11,925241
PK42-2721552984,Haji Rauf Bangash,"House 203, Street 14, Hayatabad Phase 3, Peshawar",MCB,Current,2025-08-01,342031
PK31-2533748666,Haji Hamza Kakar,"House 33, Street 34, G-13/1, Islamabad",Allied Bank,Current,2019-01-22,32538
PK93-2185593509,T.Malik,H#374 St-8 ShahRukn-e-Alam Multan,Allied Bank,Current,2022-03-17,3855624
PK82-5430636121,Luqman Tarar,مکان 71 گلی 22 North Nazimabad کراچی,MCB,Savings,2020-06-17,221529
PK80-1099578958,K.Hashmi,H#134 St-26 F-8/3 Islamabad,JS Bank,Foreign Currency,2019-11-24,1349471
PK46-5822622383,Kashif Hashmi,"House 134, Street 26, F-8/3, Islamabad",HBL,Savings,2021-07-11,2717643
PK73-8667533866,K. Hashmi,مکان 134 گلی 26 F-8/3 اسلام آباد,Meezan Bank,Savings,2018-01-20,1342610
PK26-9141673027,Z.Naqvi,"House 311, Street 4, DHA Phase 5, Lahore",MCB,Savings,2024-09-26,56072
PK35-4932451314,Haji Muhammad Bhatti,مکان 15 گلی 37 Gulshan-e-Iqbal کراچی,HBL,Savings,2019-01-18,243298
PK40-5910708948,Talha Rizvi,مکان 50 گلی 10 Chaklala Scheme 3 راولپنڈی,HBL,Current,2022-08-25,7397868
PK99-6442831870,T.Rizvi,H#50 St-10 ChaklalaScheme3 Rawalpindi,MCB,Savings,2018-12-21,5530203
PK68-3890936026,Talha Rizvi,"House No. 50, Gali 10, Chaklala Scheme 3, Rawalpindi",MCB,Foreign Currency,2022-06-14,3382183
PK34-4895023089,عائشہ Abbasi,مکان 16 گلی 40 University Town Peshawar,UBL,Savings,2020-07-19,22127
PK10-4788627693,Mustafa Baig,"House 22, Street 23, University Town, Peshawar",Meezan Bank,Savings,2021-01-06,155480
PK47-6880440956,H.Mirza,"House 207, Street 28, Shah Rukn-e-Alam, Multan",JS Bank,Foreign Currency,2018-05-29,2053403
PK78-6029960206,O. Bukhari,"House 278, Street 12, Gulgasht, Multan",HBL,Savings,2020-12-24,228420
PK77-7121176085,L. Baig,"House 27, Street 28, Wapda Town, Lahore",HBL,Savings,2020-03-12,70361
PK44-6283197469,Rehan Qureshi,"House No. 114, Gali 21, DHA Phase 6, Karachi",Bank Alfalah,Current,2022-07-06,3506610
PK51-9575945707,Rehan قریشی,"House 114, Street 21, DHA Phase 6, Karachi",JS Bank,Foreign Currency,2024-09-12,2349011
PK75-9026680532,Syed Saad Virk,"House No. 191, Gali 26, Hayatabad Phase 3, Peshawar",JS Bank,Current,2018-12-31,197366
PK14-2716956619,Khalid Lodhi,"House 399, Street 32, Hayatabad Phase 3, Peshawar",Meezan Bank,Current,2020-11-28,6155103
PK11-5521616589,K. Lodhi,H#399 St-32 HayatabadPhase3 Peshawar,UBL,Savings,2023-03-26,2038349
PK65-3925291545,Sardar Shahzad Wazir,H#37 St-8 Cantt Multan,MCB,Foreign Currency,2025-11-19,254228
PK90-3461863321,Mian Junaid Saddozai,"House No. 146, Gali 35, Model Town, Lahore",Allied Bank,Current,2023-01-30,49139
PK78-4579031399,H.Raja,"House 103, Street 9, Madina Town, Faisalabad",Askari Bank,Current,2024-03-16,144929
PK21-5329496144,H. Virk,H#391 St-5 SatelliteTown Rawalpindi,UBL,Foreign Currency,2024-06-27,1517276
PK70-5317953388,Haji Hussain Virk,"House No. 391, Gali 5, Satellite Town, Rawalpindi",Meezan Bank,Current,2023-07-16,4702921
PK33-5060810631,H.Virk,"House 391, Street 5, Satellite Town, Rawalpindi",MCB,Savings,2025-10-23,5370804
PK11-1865981484,S.Gill,مکان 330 گلی 4 DHA Phase 6 کراچی,UBL,Savings,2024-06-06,966814
PK72-9770998967,T.Afridi,"House No. 337, Gali 29, Chaklala Scheme 3, Rawalpindi",Askari Bank,Foreign Currency,2020-12-14,6291775
PK89-9630248192,T.Afridi,"House 337, Street 29, Chaklala Scheme 3, Rawalpindi",Bank Alfalah,Savings,2021-07-21,1697375
PK58-5044071507,Talha Afridi,H#337 St-29 ChaklalaScheme3 Rawalpindi,UBL,Current,2019-05-14,7650885
PK11-9421265414,Talha Afridi,"House 337, Street 29, Chaklala Scheme 3, Rawalpindi",UBL,Savings,2018-11-18,4001620
PK14-2592705137,Haji Rashid Zaidi,"House No. 58, Gali 5, DHA Phase 5, Lahore",JS Bank,Current,2024-05-04,3146076
PK66-5822787410,Rashid Zaidi,مکان 58 گلی 5 DHA Phase 5 لاہور,Allied Bank,Current,2019-02-04,6561490
PK92-3939425814,Syed Rashid Zaidi,"House No. 58, Gali 5, DHA Phase 5, Lahore",Meezan Bank,Current,2024-02-29,6849658
PK71-3979252415,Rashid Zaidi,"House No. 58, Gali 5, DHA Phase 5, Lahore",UBL,Foreign Currency,2020-12-28,4316837
PK68-8031619239,R.Siddiqui,"House 391, Street 3, Hayatabad Phase 3, Peshawar",Allied Bank,Foreign Currency,2024-01-01,6540821
PK66-3901329786,Rabia Siddiqui,مکان 391 گلی 3 Hayatabad Phase 3 Peshawar,UBL,Savings,2018-03-13,6587740
PK11-9393011599,A. Khattak,"House 352, Street 40, Gulshan-e-Iqbal, Karachi",JS Bank,Savings,2022-09-12,1357527
PK64-1632892689,A. Khattak,H#352 St-40 Gulshan-e-Iqbal Karachi,Meezan Bank,Current,2019-08-30,2358496
PK11-2478730617,Syed Farhan Afridi,"House No. 79, Gali 30, North Nazimabad, Karachi",MCB,Foreign Currency,2023-05-27,147680
PK68-6532134229,L.Kayani,H#379 St-2 ChaklalaScheme3 Rawalpindi,HBL,Savings,2021-10-09,4259466
PK98-2628830288,Luqman Kayani,مکان 379 گلی 2 Chaklala Scheme 3 راولپنڈی,Allied Bank,Savings,2018-07-20,4243320
PK20-8195011715,Z.Gondal,مکان 321 گلی 23 DHA Phase 6 کراچی,Askari Bank,Current,2019-01-29,2832734
PK56-8700067227,زینب Gondal,"House 321, Street 23, DHA Phase 6, Karachi",JS Bank,Current,2024-01-16,2732001
PK29-3804138462,Sufyan Virk,مکان 173 گلی 21 Gulshan-e-Iqbal کراچی,Bank Alfalah,Current,2021-10-27,137939
PK28-6387707973,Haji Rabia Baig,"House 338, Street 40, Gulbahar, Peshawar",Askari Bank,Foreign Currency,2025-08-24,7247909
PK54-1632465809,Rabia Baig,"House 338, Street 40, Gulbahar, Peshawar",JS Bank,Foreign Currency,2022-11-11,4185685
PK44-5606457746,Rabia Baig,"House 338, Street 40, Gulbahar, Peshawar",HBL,Current,2024-02-07,6022505
PK77-9196703652,R.Baig,"House No. 338, Gali 40, Gulbahar, Peshawar",JS Bank,Foreign Currency,2019-10-28,7808923
PK94-8736699982,Rashid Rajput,"House 334, Street 29, G-13/1, Islamabad",HBL,Savings,2022-05-11,165807
PK50-9068091410,Sadia Mughal,مکان 265 گلی 28 Shah Rukn-e-Alam Multan,Allied Bank,Foreign Currency,2021-11-01,125435
PK94-9689585101,S. Saddozai,مکان 394 گلی 10 Gulgasht Multan,HBL,Savings,2020-04-30,1319853
PK86-6356252496,Syed Yasir Saddozai,"House No. 162, Gali 40, Westridge, Rawalpindi",Allied Bank,Savings,2020-08-16,70955
PK71-2678789132,Tariq Malik,مکان 170 گلی 6 G-10/2 اسلام آباد,MCB,Savings,2025-07-20,196130
PK50-2201344269,Zeeshan Zaidi,"House No. 84, Gali 27, Bahria Phase 4, Rawalpindi",Bank Alfalah,Savings,2025-04-26,4246362
PK29-6477357857,Sardar Zeeshan Zaidi,"House No. 84, Gali 27, Bahria Phase 4, Rawalpindi",MCB,Savings,2018-06-11,3332422
PK82-7484884137,K.Rajput,"House No. 301, Gali 24, Satellite Town, Rawalpindi",Allied Bank,Savings,2019-08-01,57446
PK12-1606155465,A.Yousafzai,"House No. 87, Gali 24, Madina Town, Faisalabad",UBL,Savings,2024-03-29,24364
PK77-1239325685,B.Khokhar,H#171 St-36 Cantt Multan,UBL,Savings,2020-12-20,1554067
PK87-1656458488,Bushra Khokhar,H#171 St-36 Cantt Multan,JS Bank,Current,2023-05-25,4568281
PK53-5254258797,Obaid Bangash,"House 178, Street 17, Johar Town, Lahore",Bank Alfalah,Savings,2024-05-17,340692
PK82-5963471821,Sardar Farah Raja,مکان 164 گلی 33 Gulbahar Peshawar,Askari Bank,Savings,2025-06-28,176114
PK83-3815222752,J.Chaudhry,"House No. 399, Gali 6, Bahria Phase 4, Rawalpindi",Allied Bank,Foreign Currency,2020-08-07,55957
PK23-4664411520,Faisal Abbasi,H#236 St-22 DGround Faisalabad,Meezan Bank,Foreign Currency,2019-10-14,2036388
PK81-9727701559,Chaudhary Faisal Abbasi,H#236 St-22 DGround Faisalabad,Meezan Bank,Foreign Currency,2020-04-20,3881942
PK59-9734107366,Faisal Abbasi,H#236 St-22 DGround Faisalabad,JS Bank,Savings,2020-04-07,2664038
PK63-9185746141,T.Raja,"House No. 2, Gali 28, Cantt, Multan",Allied Bank,Foreign Currency,2021-06-03,178284
PK42-1528119214,S.Naqvi,H#102 St-32 Westridge Rawalpindi,JS Bank,Current,2023-03-05,6240496
PK49-6702381921,Malik Saba Naqvi,H#102 St-32 Westridge Rawalpindi,UBL,Current,2022-08-27,5764754
PK67-1290254879,Malik Saba Naqvi,مکان 102 گلی 32 Westridge راولپنڈی,JS Bank,Savings,2025-12-06,3546463
PK40-9750965064,Saba Naqvi,مکان 102 گلی 32 Westridge راولپنڈی,Bank Alfalah,Savings,2020-07-01,2794287
PK76-7594720077,S.Ansari,مکان 41 گلی 12 Peoples Colony Faisalabad,Askari Bank,Foreign Currency,2024-07-06,2597236
PK15-6227449146,Syed Sufyan Ansari,"House 41, Street 12, Peoples Colony, Faisalabad",Allied Bank,Savings,2020-03-09,3692260
PK99-4651612960,Kinza Siddiqui,"House No. 97, Gali 12, Cantt, Multan",Allied Bank,Current,2018-01-13,5871749
PK91-3891759416,Rana Kinza Siddiqui,H#97 St-12 Cantt Multan,Askari Bank,Savings,2018-03-21,1791061
PK19-3419692020,Kinza Siddiqui,"House 97, Street 12, Cantt, Multan",JS Bank,Savings,2024-06-28,3840781
PK21-5050334736,Z. Mehsud,"House 387, Street 11, Gulberg III, Lahore",Meezan Bank,Foreign Currency,2023-09-21,87592
PK87-4541383705,Malik Nimra Tareen,"House No. 41, Gali 29, University Town, Peshawar",UBL,Savings,2020-07-21,43425
PK63-6618902526,Syed Kinza Mehsud,"House No. 34, Gali 37, D Ground, Faisalabad",UBL,Foreign Currency,2021-10-21,5780359
PK58-5766656379,Kinza Mehsud,H#34 St-37 DGround Faisalabad,Allied Bank,Savings,2025-04-15,7922506
PK13-9410724862,Kinza Mehsud,"House 34, Street 37, D Ground, Faisalabad",Allied Bank,Savings,2020-01-23,3407702
PK81-9341579935,Syed Kinza Mehsud,مکان 34 گلی 37 D Ground Faisalabad,JS Bank,Current,2019-10-26,4190245
PK58-6859453920,Anas Niazi,مکان 161 گلی 35 University Town Peshawar,Askari Bank,Savings,2022-12-10,7263983
PK36-1273624700,Chaudhary Anas Niazi,"House 161, Street 35, University Town, Peshawar",Meezan Bank,Savings,2022-06-13,2064010
PK41-2913716167,A. Niazi,مکان 161 گلی 35 University Town Peshawar,HBL,Savings,2022-12-04,4088270
PK90-6469372980,W.Bhatti,مکان 238 گلی 30 University Town Peshawar,Allied Bank,Current,2019-11-09,49645
PK78-1670908433,Hassan Awan,مکان 196 گلی 10 University Town Peshawar,HBL,Foreign Currency,2023-07-16,70108
PK28-6037162047,Malik Ali Hashmi,"House No. 156, Gali 36, DHA Phase 6, Karachi",HBL,Current,2025-10-24,4823778
PK71-6021733026,علی Hashmi,"House No. 156, Gali 36, DHA Phase 6, Karachi",JS Bank,Savings,2024-02-28,2084400
PK38-6207439846,A.Hashmi,"House 156, Street 36, DHA Phase 6, Karachi",JS Bank,Foreign Currency,2019-10-27,2882094
PK89-4280325376,Rauf Mughal,H#181 St-7 CliftonBlock2 Karachi,Meezan Bank,Foreign Currency,2018-09-02,140055
PK35-5156308521,Sana Hashmi,H#214 St-32 HayatabadPhase3 Peshawar,Bank Alfalah,Current,2021-07-10,4497786
PK99-7152735431,Sana Hashmi,"House No. 214, Gali 32, Hayatabad Phase 3, Peshawar",JS Bank,Current,2022-07-05,7588306
PK57-8505962445,Sana Hashmi,"House No. 214, Gali 32, Hayatabad Phase 3, Peshawar",Askari Bank,Savings,2025-04-15,5370813
PK41-4128453169,Sana Hashmi,"House 214, Street 32, Hayatabad Phase 3, Peshawar",UBL,Savings,2021-07-31,5905147
PK43-8687235723,Mehwish Siddiqui,مکان 272 گلی 19 Peoples Colony Faisalabad,HBL,Savings,2018-07-09,2107861
PK32-7501717117,Mian Kamran Malik,H#214 St-16 Gulshan-e-Iqbal Karachi,HBL,Current,2022-02-27,6662909
PK69-2300828791,Kamran ملک,"House No. 214, Gali 16, Gulshan-e-Iqbal, Karachi",Meezan Bank,Current,2021-09-02,4516108
PK71-6198569686,Waseem Zaidi,مکان 170 گلی 13 Wapda Town لاہور,Bank Alfalah,Current,2025-03-01,1464681
PK95-7834973746,Syed Waseem Zaidi,H#170 St-13 WapdaTown Lahore,JS Bank,Savings,2023-01-07,1673007
PK82-5964245699,Waseem Zaidi,"House No. 170, Gali 13, Wapda Town, Lahore",Allied Bank,Savings,2018-11-07,7877031
PK54-4559389756,Mustafa Gilani,"House 161, Street 33, Clifton Block 2, Karachi",MCB,Savings,2024-02-22,346670
PK71-5132538281,Yousuf Janjua,H#168 St-23 SatelliteTown Rawalpindi,Meezan Bank,Savings,2025-03-10,57988
PK87-2534487857,S.Shirazi,H#331 St-13 PeoplesColony Faisalabad,Askari Bank,Savings,2021-11-25,4354271
PK87-6703410416,S.Shirazi,مکان 331 گلی 13 Peoples Colony Faisalabad,MCB,Savings,2023-10-30,5898357
PK68-9313357961,S. Shirazi,H#331 St-13 PeoplesColony Faisalabad,Askari Bank,Foreign Currency,2018-09-10,5960658
PK16-5173144032,Haji Saqib Shirazi,H#331 St-13 PeoplesColony Faisalabad,JS Bank,Foreign Currency,2024-05-29,1759548
PK54-5857462415,H.Kazmi,H#193 St-28 JoharTown Lahore,HBL,Current,2018-07-22,95006
PK76-1037677583,Iqra Joiya,مکان 56 گلی 18 University Town Peshawar,MCB,Current,2021-10-06,6161589
PK75-3014630835,Iqra Joiya,"House No. 56, Gali 18, University Town, Peshawar",Allied Bank,Current,2025-05-26,5409281
PK73-6249982439,Haji Mahnoor Awan,مکان 64 گلی 4 DHA Phase 5 لاہور,Allied Bank,Savings,2022-06-17,179584
PK53-3478218555,Malik Uzma Mirza,"House 388, Street 37, Wapda Town, Lahore",HBL,Savings,2019-09-20,7114604
PK91-8861617562,U. Mirza,H#388 St-37 WapdaTown Lahore,UBL,Savings,2023-05-14,6764123
PK65-1912762635,T.Tarar,"House 253, Street 26, DHA Phase 5, Lahore",UBL,Savings,2025-07-04,5598885
PK25-2052114765,T. Tarar,H#253 St-26 DHAPhase5 Lahore,UBL,Foreign Currency,2021-06-06,7245862
PK53-7588478736,Sardar Tariq Tarar,"House 253, Street 26, DHA Phase 5, Lahore",JS Bank,Current,2021-08-11,5994916
PK23-2609521229,Sadia راجہ,"House 230, Street 11, Hayatabad Phase 3, Peshawar",MCB,Savings,2018-05-03,98725
PK90-9942910434,Malik Bilal Khattak,H#116 St-31 Gulbahar Peshawar,Allied Bank,Savings,2019-12-14,33501
PK61-5354857647,S. Chaudhry,"House No. 302, Gali 3, F-8/3, Islamabad",Meezan Bank,Foreign Currency,2023-07-07,124252
PK94-5194928751,Khadija Sandhu,H#204 St-14 PeoplesColony Faisalabad,MCB,Savings,2022-03-30,2947030
PK68-3030259273,K.Sandhu,مکان 204 گلی 14 Peoples Colony Faisalabad,HBL,Current,2024-07-27,2807538
PK30-1740326729,Khadija Sandhu,"House No. 204, Gali 14, Peoples Colony, Faisalabad",MCB,Current,2019-02-12,4643172
PK32-9198909771,K. Sandhu,"House No. 204, Gali 14, Peoples Colony, Faisalabad",HBL,Savings,2020-12-05,6754492
PK49-1464107475,Nadia Sandhu,مکان 82 گلی 13 Madina Town Faisalabad,HBL,Savings,2018-12-14,194372
PK74-6348085597,M.Siddiqui,مکان 232 گلی 2 Shah Rukn-e-Alam Multan,HBL,Current,2018-11-20,138376
PK91-4101862681,Haji Usman Virk,"House No. 381, Gali 14, Hayatabad Phase 3, Peshawar",HBL,Savings,2021-08-27,5213546
PK79-6474251335,Usman Virk,"House No. 381, Gali 14, Hayatabad Phase 3, Peshawar",Meezan Bank,Savings,2018-10-27,4910430
PK44-8095718194,R. Ansari,"House 106, Street 32, University Town, Peshawar",Meezan Bank,Foreign Currency,2023-05-20,7921496
PK26-6151631117,R. Ansari,مکان 106 گلی 32 University Town Peshawar,Bank Alfalah,Savings,2025-02-07,5564900
PK70-8138420661,Rehan Ansari,"House No. 106, Gali 32, University Town, Peshawar",UBL,Foreign Currency,2025-11-28,2900782
PK24-3823184402,Malik Ubaid Bukhari,H#140 St-18 Gulgasht Multan,Meezan Bank,Current,2020-01-22,5355766
PK93-2260425134,Rana Ubaid Bukhari,H#140 St-18 Gulgasht Multan,JS Bank,Foreign Currency,2022-03-20,5711816
PK27-6872037275,A.Butt,H#395 St-18 Cantt Multan,JS Bank,Savings,2022-03-02,226767
PK99-9246061120,Umar Janjua,مکان 1 گلی 3 Shah Rukn-e-Alam Multan,Bank Alfalah,Current,2019-05-14,7373234
PK65-8317034018,Sardar Umar Janjua,"House No. 1, Gali 3, Shah Rukn-e-Alam, Multan",Bank Alfalah,Current,2022-01-06,1298784
PK15-4942127420,Umar Janjua,H#1 St-3 ShahRukn-e-Alam Multan,Allied Bank,Foreign Currency,2021-09-01,4770204
PK11-9371305407,Irfan Sandhu,"House 189, Street 30, G-13/1, Islamabad",Meezan Bank,Savings,2021-06-08,1361798
PK83-4111480467,Irfan Sandhu,"House No. 189, Gali 30, G-13/1, Islamabad",HBL,Current,2023-01-23,6396061
PK42-6724429405,Atif Saddozai,"House 209, Street 12, Shah Rukn-e-Alam, Multan",UBL,Foreign Currency,2022-04-01,46422
PK32-3405620994,Rashid Mehsud,H#346 St-35 UniversityTown Peshawar,MCB,Savings,2018-06-24,4675803
PK69-5890864299,Rashid Mehsud,"House 346, Street 35, University Town, Peshawar",Meezan Bank,Savings,2020-11-23,1660969
PK23-4409144150,Rashid Mehsud,"House 346, Street 35, University Town, Peshawar",MCB,Savings,2021-11-14,7779412
PK98-5712697636,R. Mehsud,H#346 St-35 UniversityTown Peshawar,Bank Alfalah,Savings,2020-05-14,6129445
PK53-9609193457,Rashid Shirazi,"House 324, Street 11, Wapda Town, Lahore",MCB,Foreign Currency,2019-06-15,322231
PK53-1267069896,F.Kazmi,"House 267, Street 7, Peoples Colony, Faisalabad",MCB,Current,2024-10-07,4832735
PK12-1519787028,F.Kazmi,"House 267, Street 7, Peoples Colony, Faisalabad",UBL,Current,2024-07-25,3007237
PK75-9382861945,Sardar Fahad Kazmi,H#267 St-7 PeoplesColony Faisalabad,Bank Alfalah,Savings,2022-10-13,7677092
PK24-1301735736,Hafsa Bangash,"House 251, Street 8, University Town, Peshawar",Bank Alfalah,Current,2025-06-24,1289022
PK62-9390603664,Hafsa Bangash,"House No. 251, Gali 8, University Town, Peshawar",HBL,Foreign Currency,2024-12-10,3969522
PK99-1929400451,Malik Mubashir Sial,مکان 245 گلی 40 D Ground Faisalabad,Bank Alfalah,Foreign Currency,2018-02-20,3860701
PK36-3088874661,حسن Kayani,H#197 St-35 ShahRukn-e-Alam Multan,Meezan Bank,Current,2020-05-28,3449369
PK10-2710754257,H.Kayani,H#197 St-35 ShahRukn-e-Alam Multan,JS Bank,Foreign Currency,2018-11-21,3359296
PK12-8016996258,Khalid Butt,"House No. 244, Gali 17, Clifton Block 2, Karachi",Askari Bank,Foreign Currency,2023-11-16,2950488
PK98-1122654304,Khalid بٹ,"House No. 244, Gali 17, Clifton Block 2, Karachi",Meezan Bank,Savings,2022-10-03,5084358
PK55-9899108784,K. Butt,H#244 St-17 CliftonBlock2 Karachi,HBL,Foreign Currency,2022-11-07,4498631
PK89-5585522319,Rana Ubaid Virk,"House No. 124, Gali 39, Shah Rukn-e-Alam, Multan",Askari Bank,Savings,2021-01-07,3250329
PK99-4451650303,Malik Ubaid Virk,"House No. 124, Gali 39, Shah Rukn-e-Alam, Multan",Askari Bank,Current,2020-09-10,2643127
PK21-6089826007,T.Dar,"House No. 49, Gali 1, Madina Town, Faisalabad",Meezan Bank,Current,2023-06-17,2400106
PK58-9458618201,T.Khokhar,H#199 St-35 WapdaTown Lahore,UBL,Savings,2025-01-28,3558869
PK25-3001811587,Sardar Talha Khokhar,مکان 199 گلی 35 Wapda Town لاہور,Askari Bank,Savings,2018-11-28,3054029
PK47-7577838755,Mian Taimoor Mirza,"House 21, Street 19, Hayatabad Phase 3, Peshawar",Allied Bank,Savings,2019-02-07,2710232
PK68-7364360259,T. Mirza,"House No. 21, Gali 19, Hayatabad Phase 3, Peshawar",HBL,Savings,2018-11-22,6542226
PK73-4452531432,T. Mirza,"House 21, Street 19, Hayatabad Phase 3, Peshawar",Askari Bank,Savings,2021-01-01,6343148
PK63-4100301332,H.Rajput,"House 3, Street 25, DHA Phase 6, Karachi",Bank Alfalah,Current,2020-06-14,158403
PK65-7451750510,Sufyan Hashmi,"House No. 11, Gali 34, Model Town, Lahore",MCB,Savings,2021-09-23,1576217
PK25-5390934630,S. Hashmi,مکان 11 گلی 34 Model Town لاہور,HBL,Savings,2020-01-15,2940276
PK82-8593708096,Rana Rauf Zaidi,"House No. 35, Gali 5, Shah Rukn-e-Alam, Multan",JS Bank,Current,2024-09-21,2996507
PK48-7768080069,Mian Rauf Zaidi,"House No. 35, Gali 5, Shah Rukn-e-Alam, Multan",HBL,Current,2018-03-28,4290157
PK26-3581632423,N. Siddiqui,"House 45, Street 37, F-8/3, Islamabad",UBL,Savings,2020-09-23,40830
PK51-7261287866,Rashid Niazi,H#6 St-24 Westridge Rawalpindi,Allied Bank,Savings,2025-10-24,1106858
PK85-3195350891,Rashid Niazi,H#6 St-24 Westridge Rawalpindi,Bank Alfalah,Foreign Currency,2018-09-23,1981077
PK20-9155334334,K.Naqvi,"House No. 71, Gali 21, I-8/4, Islamabad",Bank Alfalah,Current,2021-11-16,2716980
PK99-8876639410,Khadija Naqvi,"House No. 71, Gali 21, I-8/4, Islamabad",Meezan Bank,Savings,2022-11-21,1651173
PK26-7683129486,Khadija Naqvi,مکان 71 گلی 21 I-8/4 اسلام آباد,Bank Alfalah,Savings,2020-11-15,4440324
PK76-5035532281,Z. Kazmi,"House 85, Street 16, G-13/1, Islamabad",UBL,Current,2020-08-14,4228768
PK59-3913690619,Syed Zafar Kazmi,"House No. 85, Gali 16, G-13/1, Islamabad",MCB,Savings,2022-06-21,3539612
PK69-8991736397,R. Butt,H#400 St-26 UniversityTown Peshawar,Meezan Bank,Savings,2022-03-28,4601662
PK42-2567593717,Malik Shahzad Rajput,H#209 St-11 DGround Faisalabad,HBL,Foreign Currency,2022-05-31,1174299
PK56-6859710496,Rauf Shirazi,H#34 St-36 E-11/2 Islamabad,UBL,Savings,2019-10-19,224043
PK11-3122680841,Wajahat Khattak,H#156 St-35 UniversityTown Peshawar,HBL,Savings,2020-10-11,1806047
PK87-9418905105,J.Bukhari,"House 350, Street 39, Gulgasht, Multan",HBL,Foreign Currency,2025-05-04,359493
PK51-2314818739,Ehsan Rizvi,مکان 324 گلی 5 D Ground Faisalabad,JS Bank,Foreign Currency,2025-06-18,7287931
PK98-9572414288,Ehsan Rizvi,"House 324, Street 5, D Ground, Faisalabad",JS Bank,Current,2024-11-05,7972718
PK40-7717692618,Atif Janjua,H#179 St-20 PeoplesColony Faisalabad,Bank Alfalah,Savings,2025-06-10,2143427
PK92-4088491369,A.Janjua,"House 179, Street 20, Peoples Colony, Faisalabad",Askari Bank,Foreign Currency,2020-08-29,1881065
PK64-1210149758,Iqra Sial,"House 97, Street 40, Gulgasht, Multan",Bank Alfalah,Savings,2021-06-08,4007612
PK81-5087676574,I.Sial,"House No. 97, Gali 40, Gulgasht, Multan",Meezan Bank,Foreign Currency,2020-12-02,5261781
PK28-8184678249,I. Sial,H#97 St-40 Gulgasht Multan,MCB,Foreign Currency,2025-11-04,5465576
PK81-9877203913,I.Sial,H#97 St-40 Gulgasht Multan,Allied Bank,Current,2019-08-07,2015823
PK44-7723579117,N. Khokhar,"House 89, Street 8, D Ground, Faisalabad",HBL,Current,2020-09-24,32744
PK14-4534343894,Talha Khattak,"House 192, Street 16, University Town, Peshawar",Bank Alfalah,Foreign Currency,2021-07-22,4446350
PK36-4983463846,Talha Khattak,مکان 192 گلی 16 University Town Peshawar,MCB,Foreign Currency,2019-01-07,859045
PK67-2393465859,Sardar Rashid Kayani,"House No. 130, Gali 8, Peoples Colony, Faisalabad",MCB,Savings,2020-09-08,220488
PK27-5423058761,Anas Khokhar,"House No. 142, Gali 33, D Ground, Faisalabad",Allied Bank,Savings,2021-05-29,308498
PK76-7290773244,Saba Hashmi,"House No. 244, Gali 28, Peoples Colony, Faisalabad",UBL,Savings,2025-03-26,294497
PK86-6031274770,بلال بٹ,"House No. 143, Gali 7, Hayatabad Phase 3, Peshawar",UBL,Savings,2021-11-16,45689
PK88-6775887822,Mian Noman Butt,"House 31, Street 1, Gulgasht, Multan",UBL,Savings,2022-08-20,1222610
PK62-1602923166,S. Mughal,"House 105, Street 35, University Town, Peshawar",Bank Alfalah,Current,2023-04-21,1994538
PK44-6328054498,Shoaib Mughal,"House 105, Street 35, University Town, Peshawar",HBL,Savings,2019-01-19,3371382
PK11-8032148385,Syed Shoaib Lodhi,"House No. 123, Gali 20, G-10/2, Islamabad",Meezan Bank,Savings,2023-04-06,80187
PK78-8203815768,Tariq Tarar,"House 227, Street 10, Shah Rukn-e-Alam, Multan",Bank Alfalah,Foreign Currency,2023-11-22,2021203
PK19-7780773150,N.Mehsud,H#269 St-22 NorthNazimabad Karachi,Allied Bank,Savings,2023-10-12,4218622
PK71-8406916314,Noman Mehsud,H#269 St-22 NorthNazimabad Karachi,Askari Bank,Savings,2020-07-08,4920458
PK17-7086361452,G.Warraich,مکان 367 گلی 19 Johar Town لاہور,Bank Alfalah,Savings,2018-10-20,3372857
PK31-7341146275,Rana Ghulam Warraich,H#367 St-19 JoharTown Lahore,HBL,Foreign Currency,2019-04-01,5754309
