vehicle_reg_no,owner_name,engine_capacity_cc,vehicle_make_model,registration_year,owner_address
RIR-8248,Fatima Bukhari,3300,Toyota Land Cruiser ZX,2018,"House 348, Street 32, Gulgasht, Multan"
ICT-8092,Haji Sadia Chaudhry,2700,Toyota Prado TX,2020,"House No. 243, Gali 8, Model Town, Lahore"
KAR-6445,Syed Irfan Durrani,1000,Suzuki Cultus,2024,"House No. 177, Gali 29, Westridge, Rawalpindi"
LEA-4996,N.Dar,2000,Mercedes C200,2021,مکان 342 گلی 31 DHA Phase 5 لاہور
AFR-5722,N.Dar,2000,Audi e-tron,2017,مکان 342 گلی 31 DHA Phase 5 لاہور
KAR-4376,N.Dar,3300,Toyota Land Cruiser ZX,2024,مکان 342 گلی 31 DHA Phase 5 لاہور
LEA-2899,A.Niazi,1500,Honda Civic RS,2019,مکان 286 گلی 4 Bahria Phase 4 راولپنڈی
KAR-7196,A.Niazi,3300,Toyota Land Cruiser ZX,2018,مکان 286 گلی 4 Bahria Phase 4 راولپنڈی
RIR-1615,A.Niazi,2000,Audi e-tron,2024,مکان 286 گلی 4 Bahria Phase 4 راولپنڈی
KAR-5334,U. Tareen,1200,Honda City,2023,H#313 St-40 G-10/2 Islamabad
LEA-3005,Syed Noman Sandhu,3300,Toyota Land Cruiser ZX,2025,"House No. 363, Gali 29, Chaklala Scheme 3, Rawalpindi"
KAR-5258,H.Baig,2000,Audi e-tron,2024,مکان 394 گلی 1 North Nazimabad کراچی
ICT-4201,H.Baig,2700,Toyota Prado TX,2018,مکان 394 گلی 1 North Nazimabad کراچی
LEA-7712,Sajid Sandhu,1000,Suzuki Cultus,2017,"House 185, Street 16, Shah Rukn-e-Alam, Multan"
KAR-8279,Syed Obaid Tarar,70,Honda CD-70,2020,"House No. 16, Gali 29, Gulshan-e-Iqbal, Karachi"
ICT-5575,Nasir Kakar,1200,Honda City,2023,"32-26 Westridge, Rawalpindi"
AFR-8581,Mian Sana Mirza,1300,Toyota Corolla GLi,2026,"House No. 349, Gali 36, North Nazimabad, Karachi"
LEA-2392,H. Niazi,1000,Suzuki Cultus,2022,H#276 St-22 G-10/2 Islamabad
LEA-3016,Rana Taimoor Niazi,660,Suzuki Alto,2021,"House No. 3, Gali 30, D Ground, Faisalabad"
RIR-6332,I.Khokhar,1800,Toyota Corolla Altis,2018,مکان 365 گلی 28 F-8/3 اسلام آباد
AFR-1652,Malik Yousuf Dar,1200,Honda City,2021,"House No. 190, Gali 34, Clifton Block 2, Karachi"
KAR-997,A. Afridi,660,Suzuki Alto,2021,H#353 St-32 NorthNazimabad Karachi
LEA-4309,Shahzad Bangash,800,Suzuki Mehran,2025,"61-14 D Ground, Faisalabad"
KAR-9393,H. Shirazi,2000,Mercedes C200,2026,H#57 St-8 UniversityTown Peshawar
AFR-1300,H. Shirazi,3300,Toyota Land Cruiser ZX,2026,H#57 St-8 UniversityTown Peshawar
ICT-6769,H. Shirazi,3300,Toyota Land Cruiser ZX,2025,H#57 St-8 UniversityTown Peshawar
ICT-2573,Jawad Niazi,2000,Hyundai Tucson,2020,"House 151, Street 32, Gulberg III, Lahore"
KAR-2156,Jawad Niazi,2700,Toyota Fortuner,2024,"House 151, Street 32, Gulberg III, Lahore"
AFR-2662,I.Dar,2700,Toyota Prado TX,2021,مکان 2 گلی 8 Westridge راولپنڈی
KAR-154,O.Gilani,1800,Toyota Corolla Altis,2026,مکان 194 گلی 31 Gulshan-e-Iqbal کراچی
ICT-6163,O.Gilani,3300,Toyota Land Cruiser ZX,2024,مکان 194 گلی 31 Gulshan-e-Iqbal کراچی
KAR-6697,Farah Joiya,1000,Suzuki Cultus,2020,"House 46, Street 40, Chaklala Scheme 3, Rawalpindi"
RIR-3818,Z. Butt,2000,Mercedes C200,2021,H#377 St-18 ShahRukn-e-Alam Multan
ICT-402,Nadia Khattak,2000,Hyundai Tucson,2022,"287-6 B-17, Islamabad"
RIR-1949,T.Rizvi,3300,Toyota Land Cruiser ZX,2024,مکان 206 گلی 38 Madina Town Faisalabad
KAR-6416,T.Rizvi,2000,Audi e-tron,2018,مکان 206 گلی 38 Madina Town Faisalabad
AFR-8139,Salman Abbasi,660,Suzuki Alto,2021,"348-11 Model Town, Lahore"
ICT-9150,M. Virk,800,Suzuki Mehran,2023,H#73 St-27 I-8/4 Islamabad
KAR-3161,I.Bukhari,660,Suzuki Alto,2024,مکان 261 گلی 33 Westridge راولپنڈی
ICT-6373,Kamran Rajput,1200,Honda City,2024,"House 325, Street 15, E-11/2, Islamabad"
AFR-9833,Shahzad Niazi,1800,Toyota Corolla Altis,2019,"House 229, Street 6, Madina Town, Faisalabad"
ICT-7993,Shahzad Niazi,2700,Toyota Fortuner,2020,"House 229, Street 6, Madina Town, Faisalabad"
LEA-9735,Shahzad Niazi,1800,Toyota Corolla Altis,2024,"House 229, Street 6, Madina Town, Faisalabad"
ICT-7097,I. Rajput,800,Suzuki Mehran,2019,H#129 St-25 WapdaTown Lahore
RIR-9535,Mubashir راجہ,2000,Audi e-tron,2020,"72-36 Clifton Block 2, Karachi"
KAR-7075,Mubashir راجہ,1500,Honda Civic RS,2026,"72-36 Clifton Block 2, Karachi"
ICT-7944,Mubashir راجہ,1500,Honda Civic RS,2025,"72-36 Clifton Block 2, Karachi"
KAR-7070,Hafsa Cheema,660,Suzuki Alto,2021,"386-29 Shah Rukn-e-Alam, Multan"
LEA-5671,Malik Ali Orakzai,3300,Toyota Land Cruiser ZX,2019,"House No. 312, Gali 31, Satellite Town, Rawalpindi"
KAR-9633,Malik Ali Orakzai,2700,Toyota Fortuner,2017,"House No. 312, Gali 31, Satellite Town, Rawalpindi"
ICT-1706,Rana Ali Orakzai,1500,Honda Civic RS,2025,"House No. 312, Gali 31, Satellite Town, Rawalpindi"
LEA-2081,Lubna Hashmi,1500,Honda Civic RS,2025,"House 276, Street 6, University Town, Peshawar"
AFR-7636,Lubna Hashmi,3300,Toyota Land Cruiser ZX,2021,"House 276, Street 6, University Town, Peshawar"
RIR-7615,G.Virk,70,Honda CD-70,2026,مکان 184 گلی 25 Gulbahar Peshawar
KAR-2583,S. Khan,2000,Audi e-tron,2020,H#389 St-18 SatelliteTown Rawalpindi
RIR-9556,Danish Hashmi,1200,Honda City,2018,"144-32 DHA Phase 5, Lahore"
KAR-1189,Mansoor Siddiqui,2700,Toyota Prado TX,2021,"292-33 University Town, Peshawar"
ICT-1441,Mansoor Siddiqui,1500,Honda Civic RS,2022,"292-33 University Town, Peshawar"
RIR-988,G.Khattak,2700,Toyota Fortuner,2022,مکان 222 گلی 27 I-8/4 اسلام آباد
RIR-5145,G.Khattak,2700,Toyota Fortuner,2017,مکان 222 گلی 27 I-8/4 اسلام آباد
RIR-4389,G.Khattak,2700,Toyota Prado TX,2024,مکان 222 گلی 27 I-8/4 اسلام آباد
KAR-8445,Usman Durrani,1200,Honda City,2025,"House 143, Street 27, Satellite Town, Rawalpindi"
RIR-2558,A.Cheema,2000,Hyundai Tucson,2024,مکان 171 گلی 34 Hayatabad Phase 3 Peshawar
ICT-7360,A.Cheema,2700,Toyota Fortuner,2024,مکان 171 گلی 34 Hayatabad Phase 3 Peshawar
AFR-2179,Tariq Sheikh,1000,Suzuki Cultus,2024,"House 161, Street 5, E-11/2, Islamabad"
RIR-2884,K.Qureshi,2000,Hyundai Tucson,2026,مکان 287 گلی 4 Cantt Multan
KAR-1074,K.Qureshi,2000,Hyundai Tucson,2021,مکان 287 گلی 4 Cantt Multan
RIR-5115,K.Qureshi,2700,Toyota Fortuner,2021,مکان 287 گلی 4 Cantt Multan
RIR-7279,I.Wazir,2000,Mercedes C200,2021,مکان 233 گلی 25 Peoples Colony Faisalabad
ICT-6636,عمران Awan,2700,Toyota Prado TX,2026,"224-33 Wapda Town, Lahore"
LEA-9328,Malik Bilal Sial,2000,Audi e-tron,2019,"House No. 103, Gali 13, Johar Town, Lahore"
RIR-4417,U. Butt,2000,Hyundai Tucson,2019,H#2 St-15 DHAPhase6 Karachi
KAR-719,Sardar Khalid Dar,1800,Toyota Corolla Altis,2018,"House No. 4, Gali 24, DHA Phase 6, Karachi"
KAR-8227,J.Sandhu,800,Suzuki Mehran,2023,مکان 220 گلی 16 Wapda Town لاہور
ICT-5578,A. Janjua,1500,Honda Civic RS,2025,H#144 St-9 B-17 Islamabad
AFR-9284,A. Janjua,1800,Toyota Corolla Altis,2020,H#144 St-9 B-17 Islamabad
RIR-1337,A. Janjua,2000,Audi e-tron,2021,H#144 St-9 B-17 Islamabad
ICT-7200,Bushra Yousafzai,2000,Mercedes C200,2022,"261-25 F-8/3, Islamabad"
AFR-9911,M.Sandhu,800,Suzuki Mehran,2023,مکان 248 گلی 32 D Ground Faisalabad
KAR-4953,Syed Zara Butt,1500,Honda Civic RS,2018,"House No. 104, Gali 29, Bahria Phase 4, Rawalpindi"
LEA-3446,Syed Amna Mughal,2000,Audi e-tron,2026,"House No. 131, Gali 36, University Town, Peshawar"
AFR-3752,D. Bukhari,2700,Toyota Fortuner,2026,H#263 St-40 E-11/2 Islamabad
ICT-6522,D. Bukhari,2000,Audi e-tron,2019,H#263 St-40 E-11/2 Islamabad
LEA-8993,D. Bukhari,2000,Audi e-tron,2019,H#263 St-40 E-11/2 Islamabad
AFR-2063,Sardar Zainab Baig,2700,Toyota Prado TX,2020,"House No. 346, Gali 22, Johar Town, Lahore"
KAR-4522,احمد Kakar,2000,Audi e-tron,2023,"178-26 Gulberg III, Lahore"
KAR-4731,احمد Kakar,2700,Toyota Fortuner,2017,"178-26 Gulberg III, Lahore"
ICT-6977,Amna Awan,2700,Toyota Prado TX,2022,"256-23 DHA Phase 5, Lahore"
AFR-4277,K.Rizvi,800,Suzuki Mehran,2026,مکان 244 گلی 7 DHA Phase 6 کراچی
ICT-2549,Junaid Qureshi,1300,Toyota Corolla GLi,2025,"House 91, Street 3, Gulgasht, Multan"
RIR-4245,I.Dar,3300,Toyota Land Cruiser ZX,2021,مکان 338 گلی 34 Chaklala Scheme 3 راولپنڈی
LEA-5819,I.Dar,2700,Toyota Fortuner,2023,مکان 338 گلی 34 Chaklala Scheme 3 راولپنڈی
ICT-9321,I.Dar,1800,Toyota Corolla Altis,2022,مکان 338 گلی 34 Chaklala Scheme 3 راولپنڈی
RIR-9611,A. Tarar,1200,Honda City,2020,H#57 St-9 DHAPhase6 Karachi
KAR-5430,Mansoor Yousafzai,660,Suzuki Alto,2021,"213-16 Hayatabad Phase 3, Peshawar"
ICT-8077,Kinza Gilani,3300,Toyota Land Cruiser ZX,2017,"House 358, Street 3, E-11/2, Islamabad"
ICT-3716,Kinza Gilani,1500,Honda Civic RS,2020,"House 358, Street 3, E-11/2, Islamabad"
ICT-834,Syed Kamran Orakzai,1300,Toyota Corolla GLi,2022,"House No. 112, Gali 32, Gulgasht, Multan"
LEA-6390,Faisal Afridi,800,Suzuki Mehran,2019,"House 384, Street 30, Gulgasht, Multan"
AFR-5794,Rana Kashif Siddiqui,1800,Toyota Corolla Altis,2025,"House No. 168, Gali 30, Cantt, Multan"
KAR-1600,Syed Kashif Siddiqui,1800,Toyota Corolla Altis,2026,"House No. 168, Gali 30, Cantt, Multan"
LEA-9503,Rana Kashif Siddiqui,2700,Toyota Fortuner,2025,"House No. 168, Gali 30, Cantt, Multan"
RIR-2152,Malik Gul Rizvi,70,Honda CD-70,2025,"House No. 357, Gali 4, Westridge, Rawalpindi"
ICT-4099,Iqra خان,660,Suzuki Alto,2020,"393-13 E-11/2, Islamabad"
AFR-7008,F. Qureshi,1300,Toyota Corolla GLi,2019,H#166 St-36 UniversityTown Peshawar
AFR-3493,R. Khokhar,70,Honda CD-70,2023,H#337 St-18 SatelliteTown Rawalpindi
RIR-4059,M.Kakar,3300,Toyota Land Cruiser ZX,2023,مکان 53 گلی 35 Madina Town Faisalabad
LEA-6925,M.Kakar,2700,Toyota Fortuner,2020,مکان 53 گلی 35 Madina Town Faisalabad
LEA-3289,Sardar Khalid Kazmi,2700,Toyota Fortuner,2021,"House No. 120, Gali 33, Gulgasht, Multan"
ICT-7799,Rana Khalid Kazmi,2700,Toyota Fortuner,2019,"House No. 120, Gali 33, Gulgasht, Multan"
RIR-7020,Rana Khalid Kazmi,2000,Mercedes C200,2020,"House No. 120, Gali 33, Gulgasht, Multan"
KAR-4070,Haris Abbasi,660,Suzuki Alto,2025,"329-3 DHA Phase 6, Karachi"
LEA-2468,Kamran Hashmi,2700,Toyota Fortuner,2022,"27-10 F-8/3, Islamabad"
RIR-5099,Kamran Hashmi,1500,Honda Civic RS,2024,"27-10 F-8/3, Islamabad"
RIR-744,Haji Arsalan Kazmi,2700,Toyota Prado TX,2026,"House No. 372, Gali 30, E-11/2, Islamabad"
LEA-220,Chaudhary Arsalan Kazmi,2700,Toyota Fortuner,2025,"House No. 372, Gali 30, E-11/2, Islamabad"
RIR-1489,Haji Yasir Niazi,800,Suzuki Mehran,2018,"House No. 230, Gali 13, Wapda Town, Lahore"
AFR-1554,Sardar Yousuf Joiya,800,Suzuki Mehran,2021,"House No. 390, Gali 10, North Nazimabad, Karachi"
ICT-4890,Faisal Cheema,1500,Honda Civic RS,2017,"101-10 Westridge, Rawalpindi"
AFR-8649,Faisal Cheema,3300,Toyota Land Cruiser ZX,2017,"101-10 Westridge, Rawalpindi"
LEA-2819,N.Tarar,800,Suzuki Mehran,2022,مکان 197 گلی 32 Gulshan-e-Iqbal کراچی
RIR-4094,Malik Luqman Gilani,1800,Toyota Corolla Altis,2021,"House No. 391, Gali 28, Bahria Phase 4, Rawalpindi"
LEA-3244,Syed Luqman Gilani,2700,Toyota Prado TX,2021,"House No. 391, Gali 28, Bahria Phase 4, Rawalpindi"
AFR-9784,Laiba Bukhari,1800,Toyota Corolla Altis,2021,"7-8 Cantt, Multan"
KAR-9940,S. Baig,1000,Suzuki Cultus,2019,H#219 St-17 DHAPhase6 Karachi
ICT-7115,Owais Durrani,70,Honda CD-70,2022,"56-37 Clifton Block 2, Karachi"
KAR-5111,K.Niazi,2000,Mercedes C200,2023,مکان 252 گلی 1 F-8/3 اسلام آباد
LEA-6257,K.Niazi,1500,Honda Civic RS,2020,مکان 252 گلی 1 F-8/3 اسلام آباد
ICT-9574,R.Sial,1800,Toyota Corolla Altis,2026,مکان 192 گلی 12 Bahria Phase 4 راولپنڈی
KAR-8502,R.Sial,2700,Toyota Prado TX,2018,مکان 192 گلی 12 Bahria Phase 4 راولپنڈی
ICT-3396,Sardar Taimoor Gilani,800,Suzuki Mehran,2017,"House No. 96, Gali 13, Hayatabad Phase 3, Peshawar"
ICT-3630,Syed Sufyan Afridi,1200,Honda City,2026,"House No. 326, Gali 11, Peoples Colony, Faisalabad"
KAR-9126,F. Bukhari,2700,Toyota Prado TX,2020,H#50 St-14 HayatabadPhase3 Peshawar
AFR-5562,F. Bukhari,2000,Audi e-tron,2024,H#50 St-14 HayatabadPhase3 Peshawar
ICT-1975,F. Bukhari,1500,Honda Civic RS,2022,H#50 St-14 HayatabadPhase3 Peshawar
RIR-2338,F. Warraich,1500,Honda Civic RS,2021,H#183 St-22 CliftonBlock2 Karachi
ICT-1357,F. Warraich,2700,Toyota Prado TX,2023,H#183 St-22 CliftonBlock2 Karachi
AFR-2721,F. Warraich,2700,Toyota Fortuner,2018,H#183 St-22 CliftonBlock2 Karachi
AFR-9767,H. Shirazi,3300,Toyota Land Cruiser ZX,2025,H#144 St-16 G-13/1 Islamabad
ICT-2065,H. Shirazi,2700,Toyota Fortuner,2025,H#144 St-16 G-13/1 Islamabad
ICT-8876,H. Shirazi,2000,Audi e-tron,2017,H#144 St-16 G-13/1 Islamabad
RIR-9051,محمد Afridi,1800,Toyota Corolla Altis,2024,"9-24 University Town, Peshawar"
RIR-9468,محمد Afridi,3300,Toyota Land Cruiser ZX,2025,"9-24 University Town, Peshawar"
ICT-750,محمد Afridi,2700,Toyota Fortuner,2024,"9-24 University Town, Peshawar"
LEA-7712,H.Awan,2000,Audi e-tron,2025,مکان 155 گلی 36 Clifton Block 2 کراچی
KAR-5064,Arsalan Janjua,1000,Suzuki Cultus,2025,"386-6 Bahria Phase 4, Rawalpindi"
ICT-5271,Luqman Kakar,2000,Hyundai Tucson,2024,"House 369, Street 17, Johar Town, Lahore"
RIR-4623,Luqman Kakar,2000,Audi e-tron,2025,"House 369, Street 17, Johar Town, Lahore"
AFR-7197,Luqman Kakar,2000,Hyundai Tucson,2018,"House 369, Street 17, Johar Town, Lahore"
ICT-7214,J.Cheema,3300,Toyota Land Cruiser ZX,2022,مکان 295 گلی 39 Hayatabad Phase 3 Peshawar
LEA-9170,Z.Khattak,1000,Suzuki Cultus,2025,مکان 224 گلی 15 Gulbahar Peshawar
KAR-274,J.Siddiqui,1000,Suzuki Cultus,2023,مکان 245 گلی 14 Wapda Town لاہور
RIR-1149,Haji Adnan Bangash,1300,Toyota Corolla GLi,2021,"House No. 359, Gali 4, Bahria Phase 4, Rawalpindi"
LEA-951,W.Malik,1000,Suzuki Cultus,2024,مکان 173 گلی 28 Madina Town Faisalabad
RIR-6683,I.Orakzai,1200,Honda City,2019,مکان 50 گلی 9 Westridge راولپنڈی
LEA-2881,Amna Awan,1800,Toyota Corolla Altis,2023,"House 150, Street 10, North Nazimabad, Karachi"
AFR-1494,Amna Awan,2700,Toyota Prado TX,2024,"House 150, Street 10, North Nazimabad, Karachi"
AFR-1247,Haji Mustafa Niazi,1500,Honda Civic RS,2025,"House No. 89, Gali 25, Gulgasht, Multan"
RIR-7009,Malik Mustafa Niazi,2700,Toyota Fortuner,2023,"House No. 89, Gali 25, Gulgasht, Multan"
ICT-6527,احمد Siddiqui,2000,Audi e-tron,2018,"63-32 G-10/2, Islamabad"
ICT-2009,احمد Siddiqui,2700,Toyota Fortuner,2024,"63-32 G-10/2, Islamabad"
RIR-2136,Z. Lodhi,2000,Hyundai Tucson,2025,H#49 St-38 Gulgasht Multan
RIR-7441,Z. Lodhi,2000,Audi e-tron,2017,H#49 St-38 Gulgasht Multan
AFR-6206,Z. Lodhi,3300,Toyota Land Cruiser ZX,2022,H#49 St-38 Gulgasht Multan
AFR-6535,M. Chaudhry,2700,Toyota Fortuner,2022,H#276 St-8 DGround Faisalabad
LEA-7389,M. Chaudhry,3300,Toyota Land Cruiser ZX,2017,H#276 St-8 DGround Faisalabad
ICT-2865,Saqib Siddiqui,70,Honda CD-70,2025,"House 295, Street 14, F-8/3, Islamabad"
LEA-9683,Rana Zubair Wazir,3300,Toyota Land Cruiser ZX,2022,"House No. 72, Gali 37, Madina Town, Faisalabad"
AFR-1466,Rana Rauf Virk,1800,Toyota Corolla Altis,2026,"House No. 127, Gali 5, G-13/1, Islamabad"
RIR-2430,Mian Rauf Virk,2000,Hyundai Tucson,2018,"House No. 127, Gali 5, G-13/1, Islamabad"
AFR-7265,Malik Rauf Virk,2000,Hyundai Tucson,2022,"House No. 127, Gali 5, G-13/1, Islamabad"
LEA-6097,Babar Afridi,1000,Suzuki Cultus,2023,"House 171, Street 18, I-8/4, Islamabad"
LEA-8948,K. Qureshi,2000,Mercedes C200,2019,H#90 St-34 HayatabadPhase3 Peshawar
RIR-6864,Amna Mirza,800,Suzuki Mehran,2026,"312-7 Madina Town, Faisalabad"
KAR-756,Z. Bukhari,2000,Hyundai Tucson,2017,H#5 St-33 ChaklalaScheme3 Rawalpindi
LEA-2303,بلال Durrani,3300,Toyota Land Cruiser ZX,2023,"363-16 Shah Rukn-e-Alam, Multan"
LEA-2794,بلال Durrani,2700,Toyota Prado TX,2021,"363-16 Shah Rukn-e-Alam, Multan"
LEA-5770,بلال Durrani,2000,Mercedes C200,2023,"363-16 Shah Rukn-e-Alam, Multan"
RIR-1347,Chaudhary Wajahat Kazmi,2000,Audi e-tron,2018,"House No. 220, Gali 34, Gulberg III, Lahore"
RIR-4866,Sardar Salman Afridi,2000,Hyundai Tucson,2022,"House No. 374, Gali 16, G-10/2, Islamabad"
KAR-4084,Mian Salman Afridi,2000,Mercedes C200,2021,"House No. 374, Gali 16, G-10/2, Islamabad"
AFR-2907,Chaudhary Salman Afridi,2000,Mercedes C200,2017,"House No. 374, Gali 16, G-10/2, Islamabad"
LEA-1159,K.Siddiqui,1300,Toyota Corolla GLi,2021,مکان 316 گلی 13 Clifton Block 2 کراچی
ICT-4063,A. Virk,70,Honda CD-70,2018,H#58 St-22 ChaklalaScheme3 Rawalpindi
AFR-3182,Nadeem Dar,3300,Toyota Land Cruiser ZX,2021,"324-37 B-17, Islamabad"
KAR-1499,Nadeem Dar,1800,Toyota Corolla Altis,2017,"324-37 B-17, Islamabad"
AFR-7287,Nadeem Dar,2000,Hyundai Tucson,2025,"324-37 B-17, Islamabad"
RIR-6235,Wajahat Yousafzai,1300,Toyota Corolla GLi,2018,"30-23 University Town, Peshawar"
KAR-9727,M.Gill,660,Suzuki Alto,2021,مکان 206 گلی 23 Cantt Multan
AFR-8799,A. Tarar,1000,Suzuki Cultus,2019,H#4 St-10 E-11/2 Islamabad
RIR-7389,Qasim Ansari,2000,Audi e-tron,2017,"House 56, Street 29, Madina Town, Faisalabad"
AFR-6811,Qasim Ansari,3300,Toyota Land Cruiser ZX,2017,"House 56, Street 29, Madina Town, Faisalabad"
KAR-5691,Qasim Ansari,1800,Toyota Corolla Altis,2023,"House 56, Street 29, Madina Town, Faisalabad"
ICT-2949,W.Wazir,2700,Toyota Fortuner,2017,مکان 341 گلی 18 Westridge راولپنڈی
RIR-3868,W.Wazir,1500,Honda Civic RS,2026,مکان 341 گلی 18 Westridge راولپنڈی
LEA-2834,W.Wazir,3300,Toyota Land Cruiser ZX,2025,مکان 341 گلی 18 Westridge راولپنڈی
RIR-3541,A.Khan,2700,Toyota Prado TX,2018,مکان 122 گلی 4 Gulbahar Peshawar
ICT-1305,A.Khan,2000,Audi e-tron,2025,مکان 122 گلی 4 Gulbahar Peshawar
RIR-2920,A.Khan,1800,Toyota Corolla Altis,2018,مکان 122 گلی 4 Gulbahar Peshawar
RIR-8617,N. Orakzai,1000,Suzuki Cultus,2017,H#102 St-31 Westridge Rawalpindi
LEA-6505,S.Afridi,1200,Honda City,2020,مکان 62 گلی 9 Bahria Phase 4 راولپنڈی
AFR-3808,Ali Yousafzai,2000,Mercedes C200,2020,"House 27, Street 25, Satellite Town, Rawalpindi"
AFR-3132,Ali Yousafzai,2000,Audi e-tron,2023,"House 27, Street 25, Satellite Town, Rawalpindi"
LEA-7834,M.Tarar,2000,Audi e-tron,2021,مکان 25 گلی 12 Chaklala Scheme 3 راولپنڈی
KAR-3523,M.Tarar,2000,Audi e-tron,2017,مکان 25 گلی 12 Chaklala Scheme 3 راولپنڈی
LEA-8131,Y.Lodhi,800,Suzuki Mehran,2024,مکان 221 گلی 12 Peoples Colony Faisalabad
KAR-1575,F.Khan,1200,Honda City,2026,مکان 395 گلی 9 Gulgasht Multan
ICT-5905,L.Sandhu,2000,Hyundai Tucson,2018,مکان 108 گلی 38 Chaklala Scheme 3 راولپنڈی
LEA-4730,عثمان Bukhari,3300,Toyota Land Cruiser ZX,2024,"99-29 Cantt, Multan"
KAR-2423,عثمان Bukhari,1800,Toyota Corolla Altis,2024,"99-29 Cantt, Multan"
KAR-4350,عثمان Bukhari,2000,Audi e-tron,2021,"99-29 Cantt, Multan"
ICT-6207,Maryam Durrani,1300,Toyota Corolla GLi,2024,"66-13 Satellite Town, Rawalpindi"
RIR-7946,Mian Iqra Lodhi,1200,Honda City,2018,"House No. 149, Gali 3, Cantt, Multan"
ICT-9858,Hafsa Rizvi,1000,Suzuki Cultus,2019,"39-11 Gulbahar, Peshawar"
KAR-6857,L.Lodhi,2700,Toyota Prado TX,2017,مکان 2 گلی 11 Bahria Phase 4 راولپنڈی
LEA-8538,L.Lodhi,1500,Honda Civic RS,2025,مکان 2 گلی 11 Bahria Phase 4 راولپنڈی
ICT-1244,L.Lodhi,3300,Toyota Land Cruiser ZX,2018,مکان 2 گلی 11 Bahria Phase 4 راولپنڈی
AFR-7427,Mian Noor Naqvi,70,Honda CD-70,2019,"House No. 113, Gali 19, Gulberg III, Lahore"
KAR-1624,Zubair بٹ,2700,Toyota Fortuner,2018,"143-9 Cantt, Multan"
ICT-7797,Atif شیخ,1800,Toyota Corolla Altis,2026,"183-15 Cantt, Multan"
KAR-2903,Atif شیخ,2000,Audi e-tron,2025,"183-15 Cantt, Multan"
RIR-1991,Atif شیخ,2700,Toyota Prado TX,2024,"183-15 Cantt, Multan"
LEA-1945,Rana Noman Bukhari,1200,Honda City,2024,"House No. 80, Gali 29, Shah Rukn-e-Alam, Multan"
RIR-5223,A. Ansari,1200,Honda City,2020,H#91 St-13 DHAPhase6 Karachi
RIR-7196,Mian Waqas Ansari,2700,Toyota Prado TX,2019,"House No. 352, Gali 39, University Town, Peshawar"
RIR-5981,احمد Tareen,1300,Toyota Corolla GLi,2020,"23-9 Gulbahar, Peshawar"
ICT-4796,احمد خان,1300,Toyota Corolla GLi,2021,"278-22 Hayatabad Phase 3, Peshawar"
ICT-3755,Waqas Niazi,1800,Toyota Corolla Altis,2025,"80-16 Model Town, Lahore"
KAR-9949,L. Abbasi,1300,Toyota Corolla GLi,2018,H#116 St-25 GulbergIII Lahore
KAR-2497,G.Chaudhry,2000,Audi e-tron,2024,مکان 61 گلی 24 Madina Town Faisalabad
RIR-649,G.Chaudhry,2000,Hyundai Tucson,2024,مکان 61 گلی 24 Madina Town Faisalabad
ICT-304,G.Chaudhry,2000,Hyundai Tucson,2025,مکان 61 گلی 24 Madina Town Faisalabad
LEA-3327,Iqra Ansari,1000,Suzuki Cultus,2021,"77-20 Shah Rukn-e-Alam, Multan"
AFR-186,Bushra Sandhu,2000,Audi e-tron,2025,"2-10 DHA Phase 5, Lahore"
KAR-4243,Haji Pervez Zaidi,1500,Honda Civic RS,2025,"House No. 273, Gali 35, North Nazimabad, Karachi"
ICT-3363,K.Raja,1200,Honda City,2017,مکان 2 گلی 14 Chaklala Scheme 3 راولپنڈی
AFR-9756,F. Sandhu,800,Suzuki Mehran,2020,H#151 St-30 HayatabadPhase3 Peshawar
KAR-2070,عمران Saddozai,660,Suzuki Alto,2021,"357-10 Satellite Town, Rawalpindi"
RIR-4153,Bushra Bukhari,1200,Honda City,2024,"House 305, Street 11, E-11/2, Islamabad"
RIR-8301,A. Gilani,800,Suzuki Mehran,2025,H#77 St-12 UniversityTown Peshawar
RIR-9009,L.Tareen,2700,Toyota Fortuner,2020,مکان 6 گلی 26 Bahria Phase 4 راولپنڈی
LEA-1789,Danish Sial,1500,Honda Civic RS,2026,"48-34 Chaklala Scheme 3, Rawalpindi"
AFR-1339,Z. Qureshi,1200,Honda City,2018,H#306 St-1 F-8/3 Islamabad
KAR-206,Mian Sajid Raja,70,Honda CD-70,2026,"House No. 23, Gali 37, D Ground, Faisalabad"
LEA-5448,A. Gill,800,Suzuki Mehran,2025,H#204 St-33 UniversityTown Peshawar
RIR-7689,Chaudhary Kinza Mehsud,2000,Audi e-tron,2021,"House No. 209, Gali 33, I-8/4, Islamabad"
AFR-1799,Zubair Sandhu,2700,Toyota Prado TX,2024,"House 21, Street 25, Madina Town, Faisalabad"
AFR-4951,Zeeshan خان,1000,Suzuki Cultus,2022,"281-6 Chaklala Scheme 3, Rawalpindi"
AFR-8065,T. Mehsud,1000,Suzuki Cultus,2023,H#135 St-3 NorthNazimabad Karachi
ICT-1048,Salman Gill,2000,Audi e-tron,2022,"House 329, Street 35, North Nazimabad, Karachi"
RIR-1390,Chaudhary Haris Warraich,2000,Audi e-tron,2023,"House No. 163, Gali 22, DHA Phase 5, Lahore"
AFR-5967,Haji Ubaid Butt,1000,Suzuki Cultus,2020,"House No. 241, Gali 10, Peoples Colony, Faisalabad"
