registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type
REG-265350,I. Khokhar,Javeria Virk,"House 171, Street 2, G-13/1, Islamabad",21785380,2022-07-28,5,Farmhouse
REG-973734,Hamza Shirazi,Nadia Sial,"House 74, Street 21, Gulbahar, Peshawar",21088430,2023-08-26,10,Apartment
REG-175662,J. Niazi,Yasir Mehsud,"House 107, Street 31, Wapda Town, Lahore",82447880,2024-02-21,10,Farmhouse
REG-443684,J. Niazi,Javeria Awan,"House 151, Street 15, Gulberg III, Lahore",50473930,2022-02-18,10,Residential House
REG-276748,I. Dar,Jawad Hashmi,"House 57, Street 7, Westridge, Rawalpindi",21717402,2021-04-25,7,Farmhouse
REG-499361,Sardar Owais Gilani,Waqas Mehsud,"House 50, Street 19, North Nazimabad, Karachi",127416160,2024-06-29,20,Residential Plot
REG-942419,زینب بٹ,Farhan Siddiqui,"House 215, Street 14, Shah Rukn-e-Alam, Multan",706485040,2021-06-28,80,Commercial Plaza
REG-136530,زینب بٹ,Bilal Abbasi,"House 197, Street 12, Shah Rukn-e-Alam, Multan",26299530,2021-08-30,5,Farmhouse
REG-769553,N.Khattak,Mubashir Lodhi,"House 29, Street 6, G-13/1, Islamabad",221404240,2021-10-05,80,Residential House
REG-496955,N.Khattak,Rashid Khan,"House 376, Street 36, E-11/2, Islamabad",29348760,2025-01-09,7,Residential Plot
REG-220096,T. Rizvi,Nimra Sandhu,"House 346, Street 38, Madina Town, Faisalabad",132590880,2021-01-21,40,Apartment
REG-451637,Hassan Naqvi,Fatima Virk,"House 373, Street 2, Johar Town, Lahore",9341250,2026-03-08,3,Farmhouse
REG-716562,Salman Abbasi,Farhan Cheema,"House 61, Street 19, Johar Town, Lahore",22466010,2024-11-11,7,Residential Plot
REG-923935,K. Rajput,Zubair Raja,"House 85, Street 27, F-8/3, Islamabad",23786463,2021-03-19,3,Residential House
REG-417350,S.Niazi,Noman Saddozai,"House 73, Street 15, D Ground, Faisalabad",48221540,2021-03-25,20,Apartment
REG-716043,S.Niazi,Ayesha Malik,"House 4, Street 1, D Ground, Faisalabad",411843440,2025-02-27,80,Apartment
REG-446655,Malik Yasir Rizvi,Anas Hashmi,"House 262, Street 36, Clifton Block 2, Karachi",19523165,2023-10-18,5,Apartment
REG-528982,M.Raja,Waqas Lodhi,"House 238, Street 8, DHA Phase 6, Karachi",31396281,2025-10-24,7,Residential House
REG-611295,M.Raja,Zara Mirza,"House 102, Street 38, Clifton Block 2, Karachi",155921920,2025-08-17,20,Farmhouse
REG-130592,A. Orakzai,Junaid Butt,"House 182, Street 28, Chaklala Scheme 3, Rawalpindi",155465680,2024-11-23,80,Apartment
REG-527429,L. Hashmi,Shoaib Gondal,"House 340, Street 1, Hayatabad Phase 3, Peshawar",52091490,2023-05-16,10,Residential Plot
REG-761273,L. Hashmi,Rida Raja,"House 294, Street 9, Hayatabad Phase 3, Peshawar",30315190,2023-10-17,10,Residential House
REG-759647,Sufyan Khan,Tooba Naqvi,"House 46, Street 38, Chaklala Scheme 3, Rawalpindi",14274075,2025-07-12,5,Residential House
REG-201267,D.Hashmi,Jawad Qureshi,"House 279, Street 24, Wapda Town, Lahore",18363660,2022-09-02,7,Commercial Plaza
REG-722409,M.Siddiqui,Zafar Sial,"House 368, Street 18, Hayatabad Phase 3, Peshawar",20149610,2021-12-04,10,Residential House
REG-703803,Gul Khattak,Saba Baig,"House 279, Street 15, I-8/4, Islamabad",19078455,2023-05-27,5,Residential House
REG-462625,Gul Khattak,Hamza Malik,"House 293, Street 34, G-10/2, Islamabad",18625761,2022-07-05,7,Commercial Plaza
REG-325100,Tariq Gilani,Mahnoor Bhatti,"House 92, Street 24, Gulbahar, Peshawar",19407680,2025-07-29,5,Farmhouse
REG-196139,Mian Kamran Afridi,Gul Virk,"House 82, Street 25, Shah Rukn-e-Alam, Multan",39991476,2025-11-18,7,Residential Plot
REG-475518,Arsalan Cheema,Danish Joiya,"House 198, Street 15, Hayatabad Phase 3, Peshawar",83103300,2021-12-25,10,Apartment
REG-992684,Mian Kamran Qureshi,Kashif Gilani,"House 291, Street 8, Cantt, Multan",58345350,2023-06-07,10,Residential House
REG-233283,Sardar Kamran Qureshi,Faisal Kakar,"House 85, Street 5, Gulgasht, Multan",9606645,2023-02-02,5,Farmhouse
REG-170446,I. Wazir,Uzma Baig,"House 209, Street 22, D Ground, Faisalabad",57090873,2021-01-11,7,Commercial Plaza
REG-656465,I. Wazir,Mansoor Sandhu,"House 47, Street 24, D Ground, Faisalabad",224859800,2023-07-08,40,Farmhouse
REG-613984,Sardar Imran Awan,Gul Kakar,"House 274, Street 32, Johar Town, Lahore",24960175,2025-10-02,5,Commercial Plaza
REG-477140,B. Sial,Rabia Zaidi,"House 103, Street 12, Model Town, Lahore",39377975,2025-10-21,5,Residential Plot
REG-683724,W.Shirazi,Rida Naqvi,"House 364, Street 11, Cantt, Multan",22835106,2024-01-07,3,Farmhouse
REG-297209,Ubaid بٹ,Arsalan Kakar,"House 234, Street 7, Gulshan-e-Iqbal, Karachi",92347720,2022-07-25,40,Farmhouse
REG-516520,K. Dar,Obaid Sheikh,"House 92, Street 7, Clifton Block 2, Karachi",37968365,2023-07-24,5,Farmhouse
REG-682597,Zubair Joiya,Noman Chaudhry,"House 292, Street 32, Satellite Town, Rawalpindi",37309420,2023-12-11,5,Apartment
REG-481412,J. Naqvi,Lubna Bangash,"House 220, Street 20, University Town, Peshawar",41996605,2024-11-21,5,Apartment
REG-712592,J. Sandhu,Asad Warraich,"House 392, Street 18, DHA Phase 5, Lahore",42571284,2026-02-21,7,Residential Plot
REG-314439,A.Janjua,Zafar Tarar,"House 318, Street 30, G-13/1, Islamabad",148134920,2022-12-25,40,Residential House
REG-190450,Bushra Yousafzai,Usman Siddiqui,"House 56, Street 31, G-10/2, Islamabad",171915600,2024-01-23,20,Residential Plot
REG-293626,Mian Madiha Sandhu,Faisal Durrani,"House 102, Street 17, D Ground, Faisalabad",25616097,2026-01-13,3,Apartment
REG-549450,Z. Butt,Rehan Orakzai,"House 319, Street 18, Satellite Town, Rawalpindi",37760660,2022-05-16,10,Apartment
REG-306420,Amna Mughal,Talha Raja,"House 364, Street 23, Gulbahar, Peshawar",197317440,2022-08-12,80,Residential Plot
REG-593609,D.Bukhari,Ayesha Mehsud,"House 143, Street 23, I-8/4, Islamabad",153156480,2024-09-08,20,Commercial Plaza
REG-115578,D.Bukhari,Hafsa Bangash,"House 99, Street 8, B-17, Islamabad",156229540,2025-07-09,20,Farmhouse
REG-580997,Z.Kazmi,Yousuf Malik,"House 22, Street 11, Peoples Colony, Faisalabad",25383050,2022-09-13,7,Apartment
REG-932136,زینب Baig,Babar Raja,"House 350, Street 28, Johar Town, Lahore",293691160,2024-06-28,40,Commercial Plaza
REG-479771,زینب Baig,Nadeem Butt,"House 239, Street 12, Johar Town, Lahore",30569480,2023-01-20,10,Commercial Plaza
REG-233666,A.Kakar,Farah Bangash,"House 198, Street 33, Model Town, Lahore",215432960,2021-04-21,40,Residential House
REG-791450,Mian Amna Awan,Kinza Saddozai,"House 372, Street 18, DHA Phase 5, Lahore",43716800,2021-07-19,5,Apartment
REG-641230,Syed Amna Awan,Sajid Baig,"House 387, Street 13, Gulberg III, Lahore",78804840,2026-02-12,40,Residential Plot
REG-174297,Irfan Dar,Hina Afridi,"House 209, Street 22, Chaklala Scheme 3, Rawalpindi",95324160,2021-09-29,20,Residential House
REG-947267,Ubaid Khokhar,Rabia Sheikh,"House 204, Street 35, Madina Town, Faisalabad",18575508,2024-08-31,3,Commercial Plaza
REG-141015,K.Gilani,Shahzad Saddozai,"House 218, Street 26, G-10/2, Islamabad",19456507,2026-02-07,7,Commercial Plaza
REG-972091,K.Gilani,Ayesha Malik,"House 275, Street 21, E-11/2, Islamabad",652092640,2024-11-21,80,Farmhouse
REG-680307,K.Siddiqui,Ali Wazir,"House 37, Street 36, Shah Rukn-e-Alam, Multan",47916000,2021-06-07,10,Farmhouse
REG-479942,Syed Fatima Qureshi,Madiha Zaidi,"House 269, Street 29, University Town, Peshawar",30201740,2021-01-18,5,Farmhouse
REG-527800,Mubashir Kakar,Ghulam Bukhari,"House 45, Street 19, Madina Town, Faisalabad",28878885,2023-02-13,5,Apartment
REG-587750,Gul Kakar,Kinza Tareen,"House 240, Street 18, Shah Rukn-e-Alam, Multan",34829475,2021-03-13,5,Apartment
REG-230252,Khalid Kazmi,Rashid Warraich,"House 25, Street 8, Shah Rukn-e-Alam, Multan",41010580,2026-01-06,5,Farmhouse
REG-277443,Khalid Kazmi,Khalid Dar,"House 43, Street 3, Shah Rukn-e-Alam, Multan",30764980,2026-01-24,10,Farmhouse
REG-563677,Chaudhary Owais Janjua,Iqra Rizvi,"House 66, Street 16, Cantt, Multan",50799777,2021-02-22,7,Apartment
REG-400774,Malik Kamran Hashmi,Babar Kayani,"House 4, Street 2, F-8/3, Islamabad",66496390,2023-09-09,10,Farmhouse
REG-205921,A. Kazmi,Saba Virk,"House 1, Street 33, I-8/4, Islamabad",14920325,2025-09-24,7,Commercial Plaza
REG-762571,Malik Faisal Cheema,Mehwish Zaidi,"House 362, Street 32, Bahria Phase 4, Rawalpindi",161201280,2022-01-21,80,Apartment
REG-223607,L. Gilani,Zara Baig,"House 26, Street 12, Satellite Town, Rawalpindi",243088160,2022-03-05,40,Farmhouse
REG-480870,L. Gilani,Adnan Butt,"House 205, Street 17, Chaklala Scheme 3, Rawalpindi",75679250,2024-08-09,10,Farmhouse
REG-759467,L. Bukhari,Jawad Virk,"House 219, Street 15, Cantt, Multan",87524360,2022-04-02,10,Residential House
REG-435277,L. Bukhari,Gul Baig,"House 298, Street 3, Cantt, Multan",342244160,2022-02-19,80,Commercial Plaza
REG-398248,Sana Baig,Anas Shirazi,"House 228, Street 29, Gulshan-e-Iqbal, Karachi",24708243,2025-04-26,7,Residential House
REG-248613,K. Niazi,Zeeshan Yousafzai,"House 45, Street 30, F-8/3, Islamabad",41920480,2024-07-08,7,Apartment
REG-221498,Mian Rida Sial,Saba Janjua,"House 202, Street 27, Westridge, Rawalpindi",18273250,2025-03-14,5,Residential House
REG-802016,Chaudhary Rida Sial,Yasir Khattak,"House 273, Street 22, Satellite Town, Rawalpindi",34212760,2025-09-06,10,Farmhouse
REG-862247,Mian Farah Bukhari,Mehwish Ansari,"House 208, Street 12, Hayatabad Phase 3, Peshawar",61763660,2022-02-16,20,Residential Plot
REG-518462,Sajid Hashmi,Umar Malik,"House 219, Street 33, Gulshan-e-Iqbal, Karachi",9925296,2022-04-12,3,Apartment
REG-345063,F.Warraich,Farhan Naqvi,"House 100, Street 17, North Nazimabad, Karachi",128343960,2023-07-14,20,Apartment
REG-745651,F.Warraich,Nasir Naqvi,"House 107, Street 4, Clifton Block 2, Karachi",107888520,2021-09-21,20,Apartment
REG-478208,Hassan Shirazi,Rida Bukhari,"House 393, Street 25, E-11/2, Islamabad",615879200,2024-02-06,80,Apartment
REG-186786,Muhammad Afridi,Sadia Lodhi,"House 197, Street 21, Gulbahar, Peshawar",46992160,2025-09-28,20,Apartment
REG-678456,Muhammad Afridi,Asad Wazir,"House 346, Street 29, University Town, Peshawar",19909390,2023-10-19,5,Residential House
REG-853093,Chaudhary Farhan Sial,Zainab Saddozai,"House 53, Street 28, DHA Phase 6, Karachi",22238655,2024-12-31,5,Commercial Plaza
REG-849649,Mian Hussain Awan,Nadia Gondal,"House 396, Street 18, Clifton Block 2, Karachi",127277040,2024-11-06,40,Residential Plot
REG-494967,Luqman Kakar,Hamza Gilani,"House 147, Street 28, Gulberg III, Lahore",10492760,2021-04-08,5,Residential Plot
REG-258729,Luqman Kakar,Farah Awan,"House 79, Street 17, Gulberg III, Lahore",35353455,2025-11-20,5,Residential Plot
REG-417287,Javeria Cheema,Pervez Chaudhry,"House 106, Street 38, Hayatabad Phase 3, Peshawar",31730210,2026-03-12,5,Residential House
REG-281760,Javeria Cheema,Ubaid Afridi,"House 260, Street 13, University Town, Peshawar",59005611,2022-08-24,7,Apartment
REG-945752,Syed Sana Wazir,Rashid Gill,"House 192, Street 16, Madina Town, Faisalabad",24941748,2025-01-11,3,Residential House
REG-562248,Malik Javeria Siddiqui,Saba Sandhu,"House 285, Street 7, Model Town, Lahore",21005352,2022-05-17,3,Apartment
REG-333343,A. Awan,Hina Qureshi,"House 9, Street 21, DHA Phase 6, Karachi",36992144,2021-09-19,7,Residential Plot
REG-171802,A. Awan,Qasim Sheikh,"House 326, Street 6, Clifton Block 2, Karachi",29609060,2021-03-25,10,Residential Plot
REG-410217,H. Kazmi,Nadia Gondal,"House 277, Street 16, Shah Rukn-e-Alam, Multan",33113416,2025-06-14,7,Farmhouse
REG-653073,M.Niazi,Saba Wazir,"House 170, Street 33, Gulgasht, Multan",35455740,2023-01-26,5,Residential House
REG-598239,M.Niazi,Jawad Gill,"House 44, Street 31, Cantt, Multan",31873230,2023-07-12,5,Apartment
REG-707203,Malik Ahmed Siddiqui,Hina Khattak,"House 293, Street 16, G-10/2, Islamabad",619371040,2025-10-02,80,Farmhouse
REG-958966,Mian Ahmed Siddiqui,Taimoor Rajput,"House 284, Street 20, G-10/2, Islamabad",41675555,2021-10-16,5,Residential House
REG-612224,Chaudhary Zafar Lodhi,Lubna Lodhi,"House 177, Street 25, Shah Rukn-e-Alam, Multan",341133840,2025-09-14,80,Residential House
REG-872514,Rana Zafar Lodhi,Yousuf Qureshi,"House 16, Street 1, Shah Rukn-e-Alam, Multan",60804310,2022-10-25,7,Commercial Plaza
REG-382819,Z. Bhatti,Imran Zaidi,"House 339, Street 18, I-8/4, Islamabad",20158490,2022-02-08,5,Residential Plot
REG-239898,Mustafa چوہدری,Ubaid Khattak,"House 228, Street 27, Peoples Colony, Faisalabad",276416160,2021-10-07,40,Farmhouse
REG-774352,S.Siddiqui,Tariq Kakar,"House 40, Street 14, I-8/4, Islamabad",17865411,2026-03-02,3,Residential House
REG-700089,Mian Ayesha Niazi,Taimoor Siddiqui,"House 188, Street 18, Wapda Town, Lahore",22914585,2026-03-16,5,Apartment
REG-562413,Z.Wazir,Junaid Sheikh,"House 119, Street 6, Madina Town, Faisalabad",55358500,2021-03-16,20,Farmhouse
REG-687895,Z.Wazir,Usman Virk,"House 93, Street 18, Peoples Colony, Faisalabad",31513935,2025-06-10,5,Residential Plot
REG-613882,Rauf Virk,Nimra Gondal,"House 394, Street 17, G-13/1, Islamabad",14429086,2024-04-20,7,Farmhouse
REG-533940,Khalid Qureshi,Kinza Saddozai,"House 216, Street 15, Hayatabad Phase 3, Peshawar",517316480,2024-08-09,80,Apartment
REG-397607,Khalid Qureshi,Nimra Tarar,"House 279, Street 35, University Town, Peshawar",35199475,2025-07-11,5,Residential Plot
REG-749730,Zafar Bukhari,Haris Orakzai,"House 236, Street 16, Satellite Town, Rawalpindi",99134720,2022-07-02,40,Residential House
REG-423632,B. Durrani,Khadija Wazir,"House 133, Street 33, Cantt, Multan",21315990,2022-07-14,10,Residential House
REG-709325,B. Durrani,Farah Mirza,"House 110, Street 27, Cantt, Multan",166787720,2025-03-10,20,Residential House
REG-559226,Wajahat Kazmi,Luqman Cheema,"House 7, Street 26, DHA Phase 5, Lahore",173987580,2025-03-27,20,Residential Plot
REG-416453,Wajahat Kazmi,Mustafa Kayani,"House 15, Street 35, Gulberg III, Lahore",28424160,2022-05-03,10,Residential Plot
REG-647603,Salman Afridi,Rida Saddozai,"House 249, Street 9, B-17, Islamabad",31357420,2024-10-12,10,Commercial Plaza
REG-439702,L. Joiya,Talha Baig,"House 153, Street 13, Bahria Phase 4, Rawalpindi",19478683,2025-12-23,7,Apartment
REG-419442,Sardar Nadeem Dar,Babar Joiya,"House 55, Street 40, I-8/4, Islamabad",46212910,2025-12-25,10,Commercial Plaza
REG-489755,Qasim Ansari,Kamran Abbasi,"House 70, Street 33, D Ground, Faisalabad",188373640,2025-09-29,40,Residential House
REG-259535,Qasim Ansari,Asad Lodhi,"House 340, Street 19, Madina Town, Faisalabad",35030856,2022-01-02,7,Commercial Plaza
REG-294205,L.Baig,Hamza Chaudhry,"House 116, Street 6, G-10/2, Islamabad",25415012,2022-09-30,7,Commercial Plaza
REG-635228,Waqas Wazir,Kinza Naqvi,"House 139, Street 13, Satellite Town, Rawalpindi",225712200,2026-03-01,40,Residential House
REG-467218,Madiha Awan,Ali Sial,"House 340, Street 22, Model Town, Lahore",49060634,2023-05-09,7,Commercial Plaza
REG-532745,A. Khan,Waqas Bukhari,"House 283, Street 40, University Town, Peshawar",120582800,2022-06-30,40,Apartment
REG-230713,A. Khan,Obaid Tarar,"House 60, Street 35, University Town, Peshawar",212417040,2025-05-09,80,Apartment
REG-982253,N.Orakzai,Kashif Bangash,"House 345, Street 38, Bahria Phase 4, Rawalpindi",22652391,2022-12-01,3,Farmhouse
REG-146048,A.Yousafzai,Shoaib Chaudhry,"House 70, Street 27, Westridge, Rawalpindi",94810640,2021-05-07,20,Farmhouse
REG-291541,A.Yousafzai,Sufyan Niazi,"House 243, Street 21, Westridge, Rawalpindi",308496400,2025-10-04,40,Residential House
REG-106385,Ehsan Sial,Jawad Qureshi,"House 219, Street 29, Clifton Block 2, Karachi",32750495,2021-08-18,5,Residential Plot
REG-242936,Madiha Tarar,Khadija Orakzai,"House 15, Street 4, Westridge, Rawalpindi",36176605,2024-10-23,5,Farmhouse
REG-186842,Y. Lodhi,Noman Tareen,"House 123, Street 12, Peoples Colony, Faisalabad",55635482,2023-05-22,7,Commercial Plaza
REG-313225,Laiba Sandhu,Asad Sial,"House 291, Street 40, Bahria Phase 4, Rawalpindi",72735620,2023-08-31,20,Farmhouse
REG-124457,U.Bukhari,Danish Raja,"House 206, Street 26, Shah Rukn-e-Alam, Multan",27874020,2024-12-21,10,Residential House
REG-620104,U.Bukhari,Mehwish Orakzai,"House 74, Street 40, Shah Rukn-e-Alam, Multan",246998080,2025-10-29,80,Commercial Plaza
REG-204414,M. Durrani,Kinza Lodhi,"House 162, Street 24, Satellite Town, Rawalpindi",41691881,2025-09-09,7,Apartment
REG-846490,T. Afridi,Qasim Mehsud,"House 217, Street 32, Gulgasht, Multan",9219792,2022-11-09,3,Farmhouse
REG-174485,I. Lodhi,Owais Rajput,"House 276, Street 25, Gulgasht, Multan",20199795,2025-07-03,5,Commercial Plaza
REG-451261,Malik Hafsa Rizvi,Zara Bukhari,"House 172, Street 14, Gulbahar, Peshawar",41961020,2025-07-29,5,Residential Plot
REG-932588,Mian Laiba Lodhi,Babar Sandhu,"House 369, Street 10, Westridge, Rawalpindi",44786570,2025-11-23,5,Apartment
REG-154310,Mian Laiba Lodhi,Uzma Lodhi,"House 184, Street 9, Westridge, Rawalpindi",205154720,2021-05-13,80,Apartment
REG-539779,Z.Butt,Adnan Khan,"House 315, Street 33, Shah Rukn-e-Alam, Multan",42482045,2024-06-22,5,Residential House
REG-155419,Atif Sheikh,Faisal Wazir,"House 120, Street 22, Shah Rukn-e-Alam, Multan",171401900,2021-04-13,20,Residential House
REG-109897,W.Ansari,Nimra Ansari,"House 241, Street 20, University Town, Peshawar",48415340,2024-07-14,20,Residential House
REG-246163,W. Niazi,Uzma Joiya,"House 183, Street 6, Wapda Town, Lahore",40922535,2023-05-10,5,Apartment
REG-131577,W. Niazi,Gul Qureshi,"House 76, Street 39, Wapda Town, Lahore",61920453,2024-08-02,7,Residential Plot
REG-436415,Ghulam Chaudhry,Gul Niazi,"House 304, Street 40, Peoples Colony, Faisalabad",57310720,2023-11-16,20,Residential House
REG-560171,B. Sandhu,Umar Mughal,"House 307, Street 25, Gulberg III, Lahore",327152480,2021-02-10,40,Commercial Plaza
REG-881791,P.Zaidi,Faisal Sheikh,"House 234, Street 36, Clifton Block 2, Karachi",176568580,2026-01-14,20,Residential Plot
REG-228355,P.Zaidi,Iqra Kayani,"House 242, Street 28, Gulshan-e-Iqbal, Karachi",112654160,2024-06-23,20,Commercial Plaza
REG-198824,Kinza Raja,Ali Mughal,"House 180, Street 14, Satellite Town, Rawalpindi",12746082,2025-01-28,3,Farmhouse
REG-792220,Chaudhary Farhan Sandhu,Rida Dar,"House 383, Street 31, Gulbahar, Peshawar",24477648,2024-10-02,3,Apartment
REG-228555,O.Durrani,Bushra Awan,"House 26, Street 38, DHA Phase 5, Lahore",7048275,2023-02-28,3,Apartment
REG-212418,Laiba Tareen,Tariq Hashmi,"House 164, Street 22, Westridge, Rawalpindi",58903450,2023-06-26,10,Commercial Plaza
REG-347135,Laiba Tareen,Javeria Virk,"House 79, Street 10, Chaklala Scheme 3, Rawalpindi",265022080,2022-06-02,40,Apartment
REG-353545,Sardar Danish Sial,Kashif Butt,"House 149, Street 15, Satellite Town, Rawalpindi",502460640,2023-07-26,80,Farmhouse
REG-758217,Haji Danish Sial,Hafsa Zaidi,"House 359, Street 14, Chaklala Scheme 3, Rawalpindi",41996250,2022-12-28,5,Apartment
REG-800511,Kinza Mehsud,Usman Lodhi,"House 313, Street 7, G-13/1, Islamabad",282098080,2026-03-14,40,Residential Plot
REG-621033,M. Butt,Ibrahim Gondal,"House 147, Street 37, Johar Town, Lahore",9391865,2022-08-25,5,Residential Plot
REG-575681,Zubair Sandhu,Ahmed Baig,"House 275, Street 14, Madina Town, Faisalabad",359205680,2022-10-06,80,Commercial Plaza
REG-309823,Zubair Sandhu,Fahad Bangash,"House 334, Street 22, Madina Town, Faisalabad",16797368,2025-11-27,7,Farmhouse
REG-593025,Waqas چوہدری,Fahad Khattak,"House 391, Street 28, Johar Town, Lahore",29675500,2024-12-08,5,Residential House
REG-196334,N. Tarar,Hassan Niazi,"House 285, Street 2, Gulbahar, Peshawar",24635338,2025-11-03,7,Commercial Plaza
REG-395340,Tariq Mehsud,Zeeshan Cheema,"House 108, Street 11, Gulshan-e-Iqbal, Karachi",18159264,2025-04-19,3,Commercial Plaza
REG-790407,Salman Gill,Luqman Tareen,"House 243, Street 30, Gulshan-e-Iqbal, Karachi",10014050,2024-04-09,5,Residential Plot
REG-796872,Salman Gill,Sadia Warraich,"House 241, Street 14, North Nazimabad, Karachi",26823608,2022-01-28,7,Commercial Plaza
REG-174482,Haris Warraich,Danish Mehsud,"House 344, Street 15, Model Town, Lahore",271512320,2025-01-16,40,Commercial Plaza
REG-718724,U. Butt,Zubair Bukhari,"House 103, Street 17, Peoples Colony, Faisalabad",23735694,2021-04-28,3,Apartment
REG-773193,Ibrahim Sial,Luqman Hashmi,"House 207, Street 35, Clifton Block 2, Karachi",44970023,2022-10-12,7,Apartment
REG-881165,Ibrahim Sial,Ehsan Orakzai,"House 64, Street 2, North Nazimabad, Karachi",30779420,2024-11-11,7,Residential House
REG-773816,Kamran Lodhi,Hassan Warraich,"House 179, Street 6, Clifton Block 2, Karachi",33071045,2025-06-03,7,Residential House
REG-213445,B. Raja,Haris Mehsud,"House 136, Street 6, DHA Phase 6, Karachi",402565440,2025-11-14,80,Commercial Plaza
REG-377372,Chaudhary Javeria Mughal,Rashid Raja,"House 342, Street 31, Shah Rukn-e-Alam, Multan",89110560,2021-12-10,10,Apartment
REG-862180,A. Wazir,Ali Butt,"House 168, Street 27, Hayatabad Phase 3, Peshawar",129371840,2025-07-10,20,Farmhouse
REG-950543,G.Gilani,Muhammad Mughal,"House 26, Street 24, G-13/1, Islamabad",28373980,2021-10-27,10,Residential Plot
REG-909294,G.Gilani,Atif Afridi,"House 284, Street 34, G-10/2, Islamabad",66497280,2023-09-03,10,Farmhouse
REG-234441,Obaid Tarar,Shoaib Zaidi,"House 339, Street 29, Johar Town, Lahore",271358360,2024-03-10,40,Residential Plot
REG-947134,Chaudhary Zeeshan Afridi,Mubashir Cheema,"House 127, Street 4, Clifton Block 2, Karachi",404044400,2024-05-15,80,Apartment
REG-303988,Haris Rajput,Zara Butt,"House 5, Street 2, I-8/4, Islamabad",38371140,2025-06-25,10,Apartment
REG-818838,S. Saddozai,Ayesha Khan,"House 272, Street 11, Peoples Colony, Faisalabad",20675893,2024-10-22,7,Residential House
REG-833679,W. Bhatti,Hafsa Naqvi,"House 194, Street 31, Satellite Town, Rawalpindi",44147620,2021-08-13,5,Commercial Plaza
REG-622868,Amna Virk,Saba Ansari,"House 182, Street 21, B-17, Islamabad",57014960,2025-06-02,10,Apartment
REG-908973,Amna Virk,Mahnoor Bukhari,"House 161, Street 5, G-10/2, Islamabad",136580340,2023-12-31,20,Farmhouse
REG-606404,R. Afridi,Kinza Lodhi,"House 331, Street 14, Peoples Colony, Faisalabad",34017170,2021-03-15,10,Farmhouse
REG-669369,R. Afridi,Farhan Virk,"House 262, Street 37, Peoples Colony, Faisalabad",342786320,2025-08-16,80,Residential Plot
REG-804783,Farhan Bangash,Rauf Rizvi,"House 341, Street 17, Madina Town, Faisalabad",10741623,2021-07-02,3,Residential Plot
REG-676043,R. Joiya,Adnan Sheikh,"House 369, Street 20, DHA Phase 6, Karachi",34643385,2021-08-18,5,Commercial Plaza
REG-337248,J.Afridi,Muhammad Saddozai,"House 222, Street 1, University Town, Peshawar",42174290,2023-01-07,10,Commercial Plaza
REG-373497,J.Afridi,Zeeshan Tareen,"House 321, Street 1, Gulbahar, Peshawar",120991660,2022-10-20,20,Farmhouse
REG-576937,Mian Rehan Wazir,Hussain Malik,"House 29, Street 30, Wapda Town, Lahore",40222135,2025-01-30,5,Apartment
REG-858931,Asad Zaidi,Kashif Mehsud,"House 238, Street 25, Johar Town, Lahore",42205345,2021-08-23,7,Residential Plot
REG-613835,H.Sheikh,Usman Gilani,"House 126, Street 35, Gulbahar, Peshawar",698856960,2023-06-08,80,Apartment
REG-167495,Atif Bukhari,Noor Kazmi,"House 20, Street 20, DHA Phase 6, Karachi",12865761,2024-06-07,3,Apartment
REG-174847,H. Rizvi,Yousuf Siddiqui,"House 308, Street 13, Madina Town, Faisalabad",27047790,2024-11-12,7,Residential House
REG-216214,H. Rizvi,Sadia Khokhar,"House 214, Street 21, Peoples Colony, Faisalabad",41150300,2026-02-06,20,Farmhouse
REG-603371,F.Warraich,Hafsa Tareen,"House 338, Street 12, B-17, Islamabad",44600300,2023-09-18,5,Residential House
REG-798295,A. Khattak,Babar Rajput,"House 17, Street 2, G-13/1, Islamabad",17350285,2025-12-28,5,Residential Plot
REG-707793,Usman Siddiqui,Mustafa Sial,"House 8, Street 17, B-17, Islamabad",20800773,2025-02-12,7,Apartment
REG-572163,H. Awan,Mehwish Shirazi,"House 70, Street 34, Model Town, Lahore",36173550,2021-09-25,7,Residential House
REG-493615,Z.Wazir,Junaid Yousafzai,"House 1, Street 13, Clifton Block 2, Karachi",79403630,2022-11-09,10,Residential Plot
REG-391731,R. Khokhar,Khadija Shirazi,"House 194, Street 7, E-11/2, Islamabad",14291001,2022-06-28,3,Residential Plot
REG-164969,Ghulam Kayani,Saba Kazmi,"House 275, Street 7, I-8/4, Islamabad",280487000,2021-02-02,40,Farmhouse
REG-506217,Ghulam Kayani,Tooba Shirazi,"House 169, Street 17, G-10/2, Islamabad",63386980,2022-09-29,10,Residential House
REG-249739,Farhan Afridi,Zafar Warraich,"House 314, Street 7, Model Town, Lahore",68366520,2022-08-20,10,Residential House
REG-120487,Mian Iqra Gill,Zara Gilani,"House 297, Street 31, Clifton Block 2, Karachi",322167360,2025-09-14,40,Residential House
REG-902975,D.Naqvi,Noman Janjua,"House 31, Street 25, Peoples Colony, Faisalabad",16971786,2024-01-02,3,Apartment
REG-123803,Farhan Rizvi,Khalid Zaidi,"House 262, Street 39, Gulberg III, Lahore",37783735,2022-12-16,5,Apartment
REG-320195,Anas ملک,Ibrahim Orakzai,"House 98, Street 20, Chaklala Scheme 3, Rawalpindi",5661840,2023-12-28,3,Farmhouse
REG-427939,S.Mehsud,Arsalan Gilani,"House 373, Street 36, D Ground, Faisalabad",34769010,2025-06-17,5,Farmhouse
