meter_ref_no,consumer_name,installation_address,avg_monthly_bill_pkr,connection_type
MTR-50620176,O.Gill,مکان 126 گلی 16 B-17 اسلام آباد,29703,Commercial
MTR-13870620,F.Cheema,مکان 276 گلی 21 Satellite Town راولپنڈی,313539,Domestic
MTR-24198996,Sajid Malik,"House 302, Street 2, Shah Rukn-e-Alam, Multan",142165,Domestic
MTR-48445053,Zeeshan Orakzai,"173-32 Cantt, Multan",43859,Domestic
MTR-90132527,Chaudhary Haris Hashmi,"House No. 275, Gali 14, Cantt, Multan",15388,Commercial
MTR-30144542,Shoaib Yousafzai,"368-38 Cantt, Multan",55959,Domestic
MTR-48672520,Pervez Warraich,"264-30 Wapda Town, Lahore",416068,Domestic
MTR-92838591,A.Hashmi,مکان 138 گلی 35 Westridge راولپنڈی,54870,Domestic
MTR-11793071,R.Janjua,مکان 223 گلی 27 Chaklala Scheme 3 راولپنڈی,31205,Domestic
MTR-93419051,Uzma Mughal,"121-26 Wapda Town, Lahore",46642,Domestic
MTR-65770626,Bushra Zaidi,"370-32 Satellite Town, Rawalpindi",249291,Commercial
MTR-73455892,O. Sandhu,H#47 St-26 Gulgasht Multan,228819,Domestic
MTR-15964134,Chaudhary Rashid Qureshi,"House No. 141, Gali 29, Bahria Phase 4, Rawalpindi",368726,Domestic
MTR-38916898,Mian Fahad Bhatti,"House No. 244, Gali 16, Madina Town, Faisalabad",366597,Domestic
MTR-88847117,Hafsa Siddiqui,"House 227, Street 25, Peoples Colony, Faisalabad",53071,Domestic
MTR-49360048,M.Dar,مکان 225 گلی 21 Hayatabad Phase 3 Peshawar,17517,Domestic
MTR-88110887,Rana Uzma Awan,"House No. 103, Gali 20, E-11/2, Islamabad",20476,Domestic
MTR-63029666,Iqra Mehsud,"232-31 Gulshan-e-Iqbal, Karachi",296715,Domestic
MTR-48080929,Haris راجہ,"94-26 Gulshan-e-Iqbal, Karachi",14961,Domestic
MTR-44386130,U. Yousafzai,H#46 St-30 Cantt Multan,392016,Domestic
MTR-17292377,Malik Iqra Kayani,"House No. 189, Gali 11, Satellite Town, Rawalpindi",137239,Domestic
MTR-14242335,Gul Hashmi,"366-14 F-8/3, Islamabad",256658,Domestic
MTR-61256544,R. Dar,H#145 St-13 PeoplesColony Faisalabad,35464,Domestic
MTR-45423654,Sardar Javeria Warraich,"House No. 366, Gali 25, Cantt, Multan",44339,Domestic
MTR-25287748,Mian Bilal Cheema,"House No. 182, Gali 39, Westridge, Rawalpindi",149818,Domestic
MTR-53244554,E.Khokhar,مکان 163 گلی 34 Satellite Town راولپنڈی,28954,Domestic
MTR-15683967,A. Lodhi,H#221 St-19 ShahRukn-e-Alam Multan,47751,Commercial
MTR-25818960,S. Saddozai,H#285 St-29 DHAPhase6 Karachi,41991,Domestic
MTR-68984208,Y. Kayani,H#224 St-8 Westridge Rawalpindi,15862,Commercial
MTR-39338934,Mustafa Khokhar,"House 369, Street 10, Clifton Block 2, Karachi",3140,Domestic
MTR-17800425,Junaid Saddozai,"House 289, Street 38, Madina Town, Faisalabad",6453,Domestic
MTR-76346709,Pervez چوہدری,"347-7 Westridge, Rawalpindi",15126,Commercial
MTR-87822315,M. Sandhu,H#166 St-10 PeoplesColony Faisalabad,365736,Domestic
MTR-79507273,I.Wazir,مکان 23 گلی 40 I-8/4 اسلام آباد,15999,Domestic
MTR-22362611,Irfan Bhatti,"House 381, Street 5, Hayatabad Phase 3, Peshawar",34666,Domestic
MTR-42189979,Arsalan Kakar,"House 46, Street 2, University Town, Peshawar",26466,Domestic
MTR-50451459,H. Niazi,H#377 St-20 NorthNazimabad Karachi,16300,Domestic
MTR-25954186,F.Baig,مکان 199 گلی 31 North Nazimabad کراچی,8324,Domestic
MTR-13229121,M.Ansari,مکان 48 گلی 3 North Nazimabad کراچی,51956,Domestic
MTR-80292305,A. Naqvi,H#269 St-6 Gulgasht Multan,17576,Domestic
MTR-17314576,Mubashir Abbasi,"House 128, Street 34, Chaklala Scheme 3, Rawalpindi",57736,Domestic
MTR-37068987,F. Qureshi,H#212 St-7 MadinaTown Faisalabad,49786,Domestic
MTR-39123909,A.Malik,مکان 339 گلی 30 B-17 اسلام آباد,16053,Domestic
MTR-30400994,Mian Saqib Bukhari,"House No. 388, Gali 29, Shah Rukn-e-Alam, Multan",54473,Commercial
MTR-69488672,L.Kayani,مکان 55 گلی 28 Gulbahar Peshawar,30742,Domestic
MTR-83302858,Zara Rajput,"337-39 North Nazimabad, Karachi",189854,Domestic
MTR-92901038,Mubashir Raja,"House 8, Street 13, Bahria Phase 4, Rawalpindi",28024,Commercial
MTR-29192610,Zara Janjua,"45-20 DHA Phase 6, Karachi",48522,Commercial
MTR-32577756,Chaudhary Adnan Saddozai,"House No. 249, Gali 31, Shah Rukn-e-Alam, Multan",43635,Domestic
MTR-75035657,بلال Cheema,"323-28 G-10/2, Islamabad",195249,Domestic
MTR-37095431,Sardar Fatima Bukhari,"House No. 348, Gali 32, Gulgasht, Multan",154595,Domestic
MTR-68410842,I. Durrani,H#177 St-29 Westridge Rawalpindi,14402,Domestic
MTR-37454677,Rana Laiba Bangash,"House No. 68, Gali 19, Shah Rukn-e-Alam, Multan",11038,Commercial
MTR-88572932,N. Dar,H#342 St-31 DHAPhase5 Lahore,235822,Domestic
MTR-63417728,A. Niazi,H#286 St-4 BahriaPhase4 Rawalpindi,376963,Domestic
MTR-70116087,K. Cheema,H#317 St-15 CliftonBlock2 Karachi,20189,Commercial
MTR-55122143,Ghulam Kakar,"House 137, Street 10, G-13/1, Islamabad",32034,Commercial
MTR-39567095,Haji Ubaid Tareen,"House No. 313, Gali 40, G-10/2, Islamabad",51732,Domestic
MTR-35485725,Hamza Baig,"394-1 North Nazimabad, Karachi",359283,Domestic
MTR-15572689,Sajid Sandhu,"185-16 Shah Rukn-e-Alam, Multan",36096,Commercial
MTR-96619895,Obaid Tarar,"House 16, Street 29, Gulshan-e-Iqbal, Karachi",17595,Domestic
MTR-55289919,Nasir Kakar,"House 32, Street 26, Westridge, Rawalpindi",12069,Commercial
MTR-94846976,S.Mirza,مکان 349 گلی 36 North Nazimabad کراچی,16448,Domestic
MTR-12479805,Malik Mehwish Abbasi,"House No. 229, Gali 14, Shah Rukn-e-Alam, Multan",55468,Domestic
MTR-78352741,Haris Niazi,"276-22 G-10/2, Islamabad",51739,Commercial
MTR-53762094,فاطمہ Zaidi,"175-11 Wapda Town, Lahore",16764,Domestic
MTR-22564154,Chaudhary Noor Sial,"House No. 375, Gali 4, Peoples Colony, Faisalabad",49999,Domestic
MTR-12751535,T.Niazi,مکان 3 گلی 30 D Ground Faisalabad,34883,Domestic
MTR-67426887,Haji Irfan Wazir,"House No. 294, Gali 9, Gulbahar, Peshawar",42842,Domestic
MTR-94326819,Rana Ibrahim Khokhar,"House No. 365, Gali 28, F-8/3, Islamabad",149802,Domestic
MTR-13575379,A.Afridi,مکان 353 گلی 32 North Nazimabad کراچی,31139,Domestic
MTR-33644270,Sardar Shahzad Bangash,"House No. 61, Gali 14, D Ground, Faisalabad",19726,Commercial
MTR-56571722,Haji Hamza Shirazi,"House No. 57, Gali 8, University Town, Peshawar",360178,Domestic
MTR-21438340,Mian Irfan Dar,"House No. 2, Gali 8, Westridge, Rawalpindi",384189,Commercial
MTR-13686218,Owais Gilani,"194-31 Gulshan-e-Iqbal, Karachi",368897,Commercial
MTR-62920955,F. Joiya,H#46 St-40 ChaklalaScheme3 Rawalpindi,4479,Commercial
MTR-24457499,Rana Zainab Butt,"House No. 377, Gali 18, Shah Rukn-e-Alam, Multan",376631,Commercial
MTR-96799802,N. Khattak,H#287 St-6 B-17 Islamabad,370777,Domestic
MTR-61130431,Yousuf Kazmi,"338-35 G-10/2, Islamabad",52412,Commercial
MTR-21751710,Malik Tariq Rizvi,"House No. 206, Gali 38, Madina Town, Faisalabad",217426,Domestic
MTR-65181235,H.Naqvi,مکان 132 گلی 6 Model Town لاہور,38008,Domestic
MTR-18840266,S. Abbasi,H#348 St-11 ModelTown Lahore,40339,Commercial
MTR-78896670,Mubashir Virk,"73-27 I-8/4, Islamabad",44614,Domestic
MTR-90712405,Iqra Bukhari,"House 261, Street 33, Westridge, Rawalpindi",25297,Domestic
MTR-73759274,K.Rajput,مکان 325 گلی 15 E-11/2 اسلام آباد,17929,Domestic
MTR-73333991,S. Niazi,H#229 St-6 MadinaTown Faisalabad,392358,Domestic
MTR-70205541,Y. Rizvi,H#22 St-1 NorthNazimabad Karachi,12160,Commercial
MTR-79821740,Imran Rajput,"House 129, Street 25, Wapda Town, Lahore",54817,Commercial
MTR-97349257,علی Orakzai,"312-31 Satellite Town, Rawalpindi",179448,Commercial
MTR-34500794,Lubna Hashmi,"276-6 University Town, Peshawar",237287,Commercial
MTR-64220728,Ghulam Virk,"House 184, Street 25, Gulbahar, Peshawar",44512,Commercial
MTR-59119852,Sufyan خان,"389-18 Satellite Town, Rawalpindi",242587,Commercial
MTR-24477980,Danish Hashmi,"House 144, Street 32, DHA Phase 5, Lahore",9235,Commercial
MTR-49425206,M. Siddiqui,H#292 St-33 UniversityTown Peshawar,163787,Domestic
MTR-78808552,Kamran Bukhari,"House 66, Street 17, Satellite Town, Rawalpindi",11856,Domestic
MTR-33811587,Gul Khattak,"House 222, Street 27, I-8/4, Islamabad",264667,Commercial
MTR-36339331,Chaudhary Usman Durrani,"House No. 143, Gali 27, Satellite Town, Rawalpindi",28102,Domestic
MTR-74216979,T. Gilani,H#378 St-15 HayatabadPhase3 Peshawar,32380,Commercial
MTR-56387341,K.Afridi,مکان 15 گلی 31 Cantt Multan,18232,Commercial
MTR-21624138,Mian Tariq Sheikh,"House No. 161, Gali 5, E-11/2, Islamabad",35220,Domestic
MTR-98433793,Kamran Qureshi,"House 287, Street 4, Cantt, Multan",259858,Domestic
MTR-97260464,Iqra Wazir,"House 233, Street 25, Peoples Colony, Faisalabad",346135,Domestic
MTR-89397645,Haji Ubaid Naqvi,"House No. 99, Gali 7, Wapda Town, Lahore",16002,Domestic
MTR-76070241,A. Awan,H#132 St-23 Gulgasht Multan,43207,Commercial
MTR-24184917,I. Awan,H#224 St-33 WapdaTown Lahore,166893,Commercial
MTR-15937860,E.Mirza,مکان 266 گلی 38 DHA Phase 5 لاہور,6098,Domestic
MTR-37251859,بلال Sial,"103-13 Johar Town, Lahore",307145,Domestic
MTR-14793584,Mian Wajahat Shirazi,"House No. 297, Gali 37, Shah Rukn-e-Alam, Multan",16919,Domestic
MTR-38889439,Chaudhary Ubaid Butt,"House No. 2, Gali 15, DHA Phase 6, Karachi",389969,Commercial
MTR-25393958,Khalid Dar,"House 4, Street 24, DHA Phase 6, Karachi",261812,Commercial
MTR-74005989,Noor Ansari,"House 126, Street 12, Wapda Town, Lahore",10149,Domestic
MTR-39555534,Gul Awan,"174-14 Clifton Block 2, Karachi",4876,Domestic
MTR-31882552,J.Naqvi,مکان 223 گلی 5 Gulbahar Peshawar,38596,Domestic
MTR-87177603,Rana Javeria Sandhu,"House No. 220, Gali 16, Wapda Town, Lahore",31749,Domestic
MTR-53309767,Atif Janjua,"House 144, Street 9, B-17, Islamabad",180048,Commercial
MTR-99146035,Madiha Sandhu,"House 248, Street 32, D Ground, Faisalabad",6257,Domestic
MTR-75684450,A. Mughal,H#131 St-36 UniversityTown Peshawar,281345,Domestic
MTR-90472481,Danish Bukhari,"House 263, Street 40, E-11/2, Islamabad",177487,Domestic
MTR-27923741,Anas Bhatti,"13-12 Model Town, Lahore",50784,Commercial
MTR-62551119,Zubair Kazmi,"House 330, Street 6, D Ground, Faisalabad",30018,Domestic
MTR-38533771,Haji Ahmed Kakar,"House No. 178, Gali 26, Gulberg III, Lahore",158548,Domestic
MTR-40750921,A. Awan,H#256 St-23 DHAPhase5 Lahore,433322,Domestic
MTR-16930834,Syed Atif Bukhari,"House No. 17, Gali 9, G-13/1, Islamabad",43775,Domestic
MTR-84221865,K. Rizvi,H#244 St-7 DHAPhase6 Karachi,14384,Domestic
MTR-20234940,Junaid قریشی,"91-3 Gulgasht, Multan",19919,Domestic
MTR-86271265,Mian Irfan Dar,"House No. 338, Gali 34, Chaklala Scheme 3, Rawalpindi",123970,Domestic
MTR-52102153,Atif Tarar,"House 57, Street 9, DHA Phase 6, Karachi",50638,Domestic
MTR-29387805,Shahzad Dar,"House 364, Street 31, Model Town, Lahore",48087,Domestic
MTR-27579803,W. Baig,H#229 St-5 F-8/3 Islamabad,31356,Domestic
MTR-34335725,Ubaid Khokhar,"House 378, Street 6, Peoples Colony, Faisalabad",15588,Domestic
MTR-44528421,K. Gilani,H#358 St-3 E-11/2 Islamabad,128320,Domestic
MTR-46377480,K.Orakzai,مکان 112 گلی 32 Gulgasht Multan,36142,Commercial
MTR-28833128,A.Kakar,مکان 210 گلی 29 University Town Peshawar,46101,Domestic
MTR-67426004,K. Siddiqui,H#168 St-30 Cantt Multan,221175,Domestic
MTR-89105780,Madiha Joiya,"House 143, Street 11, Westridge, Rawalpindi",48136,Domestic
MTR-14224455,Junaid چوہدری,"347-18 Cantt, Multan",24037,Domestic
MTR-44796709,G.Rizvi,مکان 357 گلی 4 Westridge راولپنڈی,19659,Domestic
MTR-72998256,Iqra Khan,"House 393, Street 13, E-11/2, Islamabad",42553,Commercial
MTR-91519577,Hassan Khan,"House 349, Street 5, Johar Town, Lahore",57259,Commercial
MTR-73323698,H.Gondal,مکان 183 گلی 21 Satellite Town راولپنڈی,59983,Domestic
MTR-91443262,Rehan Khokhar,"House 337, Street 18, Satellite Town, Rawalpindi",14028,Domestic
MTR-17812261,M. Kakar,H#53 St-35 MadinaTown Faisalabad,383276,Commercial
MTR-41411644,G.Kakar,مکان 171 گلی 12 Cantt Multan,46223,Domestic
MTR-57805752,Khalid Kazmi,"House 120, Street 33, Gulgasht, Multan",415589,Domestic
MTR-71111149,Owais Janjua,"388-16 Shah Rukn-e-Alam, Multan",32309,Domestic
MTR-55538740,H.Abbasi,مکان 329 گلی 3 DHA Phase 6 کراچی,8253,Commercial
MTR-37465443,Sardar Waseem Bhatti,"House No. 267, Gali 27, Cantt, Multan",52506,Commercial
MTR-11768180,Noman Rizvi,"House 128, Street 15, B-17, Islamabad",19609,Domestic
MTR-98661344,K. Hashmi,H#27 St-10 F-8/3 Islamabad,422955,Domestic
MTR-50238512,Arsalan Kazmi,"House 372, Street 30, E-11/2, Islamabad",187076,Domestic
MTR-90492220,Y.Niazi,مکان 230 گلی 13 Wapda Town لاہور,20530,Commercial
MTR-12892492,I.Rizvi,مکان 132 گلی 25 Bahria Phase 4 راولپنڈی,30830,Commercial
MTR-61061660,F. Cheema,H#101 St-10 Westridge Rawalpindi,332418,Domestic
MTR-93605619,N. Tarar,H#197 St-32 Gulshan-e-Iqbal Karachi,4884,Domestic
MTR-92068463,Luqman Gilani,"391-28 Bahria Phase 4, Rawalpindi",130966,Domestic
MTR-81331363,Saba Bangash,"House 358, Street 10, Cantt, Multan",43932,Commercial
MTR-24132049,Chaudhary Laiba Bukhari,"House No. 7, Gali 8, Cantt, Multan",278257,Domestic
MTR-21207382,Mian Sana Baig,"House No. 219, Gali 17, DHA Phase 6, Karachi",8170,Domestic
MTR-82122616,Kinza Niazi,"252-1 F-8/3, Islamabad",188302,Domestic
MTR-95604799,R. Sial,H#192 St-12 BahriaPhase4 Rawalpindi,392302,Domestic
MTR-48130720,Taimoor Gilani,"96-13 Hayatabad Phase 3, Peshawar",8371,Domestic
MTR-71533151,Sufyan Afridi,"326-11 Peoples Colony, Faisalabad",24324,Domestic
MTR-49602383,Ehsan ملک,"245-32 Peoples Colony, Faisalabad",5792,Commercial
MTR-46301784,Farah Bukhari,"House 50, Street 14, Hayatabad Phase 3, Peshawar",247097,Domestic
MTR-42558253,Sajid Hashmi,"House 310, Street 28, Gulshan-e-Iqbal, Karachi",16828,Commercial
MTR-43067977,Farah Warraich,"House 183, Street 22, Clifton Block 2, Karachi",283811,Commercial
MTR-59340207,حسن Shirazi,"144-16 G-13/1, Islamabad",365752,Domestic
MTR-63660271,M.Afridi,مکان 9 گلی 24 University Town Peshawar,422919,Commercial
MTR-27300149,Farhan Sial,"House 376, Street 25, Clifton Block 2, Karachi",27023,Domestic
MTR-22539365,حسین Awan,"155-36 Clifton Block 2, Karachi",178348,Commercial
MTR-50160553,Mian Arsalan Janjua,"House No. 386, Gali 6, Bahria Phase 4, Rawalpindi",13414,Domestic
MTR-52027658,Malik Luqman Kakar,"House No. 369, Gali 17, Johar Town, Lahore",156607,Commercial
MTR-17391979,Javeria Cheema,"House 295, Street 39, Hayatabad Phase 3, Peshawar",170159,Domestic
MTR-34573824,Rana Zara Khattak,"House No. 224, Gali 15, Gulbahar, Peshawar",55551,Commercial
MTR-14591836,E. Saddozai,H#382 St-8 PeoplesColony Faisalabad,10812,Domestic
MTR-59625009,محمد Niazi,"275-13 G-13/1, Islamabad",17115,Domestic
MTR-90190173,Sana Wazir,"114-7 D Ground, Faisalabad",42285,Domestic
MTR-42702753,Shoaib Hashmi,"76-39 Shah Rukn-e-Alam, Multan",57364,Domestic
MTR-17811111,Javeria Siddiqui,"245-14 Wapda Town, Lahore",3648,Commercial
MTR-96032560,A. Bangash,H#359 St-4 BahriaPhase4 Rawalpindi,6997,Commercial
MTR-33083305,I. Orakzai,H#50 St-9 Westridge Rawalpindi,46988,Commercial
MTR-56298388,A.Awan,مکان 150 گلی 10 North Nazimabad کراچی,246746,Domestic
MTR-68897926,Gul Abbasi,"348-11 North Nazimabad, Karachi",15542,Domestic
MTR-76413316,H.Kazmi,مکان 304 گلی 28 Shah Rukn-e-Alam Multan,22922,Domestic
MTR-82605852,A.Siddiqui,مکان 63 گلی 32 G-10/2 اسلام آباد,155389,Commercial
MTR-21056969,Zafar Lodhi,"House 49, Street 38, Gulgasht, Multan",257037,Domestic
MTR-99936244,Zeeshan Bhatti,"276-12 B-17, Islamabad",16152,Commercial
MTR-62835135,Sardar Mustafa Chaudhry,"House No. 276, Gali 8, D Ground, Faisalabad",219305,Commercial
MTR-68119076,Haji Saqib Siddiqui,"House No. 295, Gali 14, F-8/3, Islamabad",44569,Commercial
MTR-47465984,عائشہ Niazi,"88-28 Wapda Town, Lahore",10885,Domestic
MTR-25451710,Javeria قریشی,"122-3 Cantt, Multan",11981,Domestic
MTR-16077355,Chaudhary Sadia Dar,"House No. 143, Gali 9, Madina Town, Faisalabad",57776,Domestic
MTR-38582041,Zara Mughal,"House 43, Street 17, North Nazimabad, Karachi",56368,Domestic
MTR-43209848,T.Orakzai,مکان 366 گلی 24 Cantt Multan,17160,Domestic
MTR-59727946,Rauf Virk,"127-5 G-13/1, Islamabad",408095,Commercial
MTR-97697872,B. Afridi,H#171 St-18 I-8/4 Islamabad,56438,Domestic
MTR-15276125,Sardar Khalid Qureshi,"House No. 90, Gali 34, Hayatabad Phase 3, Peshawar",345494,Domestic
MTR-93460501,A. Mirza,H#312 St-7 MadinaTown Faisalabad,27574,Domestic
MTR-81318173,Z.Bukhari,مکان 5 گلی 33 Chaklala Scheme 3 راولپنڈی,384220,Commercial
MTR-40626642,Sardar Bilal Durrani,"House No. 363, Gali 16, Shah Rukn-e-Alam, Multan",222785,Domestic
MTR-28940766,W.Kazmi,مکان 220 گلی 34 Gulberg III لاہور,264010,Domestic
MTR-98974702,S. Afridi,H#374 St-16 G-10/2 Islamabad,407092,Domestic
MTR-19507065,A. Sial,H#375 St-9 Gulgasht Multan,6274,Commercial
MTR-70378043,K. Siddiqui,H#316 St-13 CliftonBlock2 Karachi,51367,Domestic
MTR-73728470,L.Joiya,مکان 90 گلی 5 Bahria Phase 4 راولپنڈی,13248,Commercial
MTR-96265795,Anas Virk,"58-22 Chaklala Scheme 3, Rawalpindi",54907,Domestic
MTR-98044662,Nadeem Dar,"House 324, Street 37, B-17, Islamabad",338370,Domestic
MTR-46691719,Wajahat Yousafzai,"House 30, Street 23, University Town, Peshawar",53343,Domestic
MTR-13917405,Haji Muhammad Gill,"House No. 206, Gali 23, Cantt, Multan",55012,Domestic
MTR-68575336,Q.Ansari,مکان 56 گلی 29 Madina Town Faisalabad,312740,Domestic
MTR-31973942,Lubna Baig,"House 146, Street 3, F-8/3, Islamabad",37449,Domestic
MTR-27460000,Sardar Waqas Wazir,"House No. 341, Gali 18, Westridge, Rawalpindi",160129,Commercial
MTR-71018478,Haji Madiha Awan,"House No. 257, Gali 25, Model Town, Lahore",17097,Domestic
MTR-16918425,عائشہ خان,"122-4 Gulbahar, Peshawar",246595,Domestic
MTR-26236628,Mustafa Raja,"House 127, Street 40, University Town, Peshawar",29354,Domestic
MTR-21477571,Chaudhary Nadeem Orakzai,"House No. 102, Gali 31, Westridge, Rawalpindi",17217,Commercial
MTR-56179442,S. Afridi,H#62 St-9 BahriaPhase4 Rawalpindi,16743,Domestic
MTR-63220644,علی Yousafzai,"27-25 Satellite Town, Rawalpindi",308783,Domestic
MTR-86141392,E.Sial,مکان 262 گلی 28 Clifton Block 2 کراچی,21396,Commercial
MTR-75181819,Sardar Madiha Tarar,"House No. 25, Gali 12, Chaklala Scheme 3, Rawalpindi",211826,Commercial
MTR-76223246,Mian Yousuf Lodhi,"House No. 221, Gali 12, Peoples Colony, Faisalabad",25624,Commercial
MTR-87629845,Haji Farah Khan,"House No. 395, Gali 9, Gulgasht, Multan",4796,Commercial
MTR-91434606,Laiba Sandhu,"House 108, Street 38, Chaklala Scheme 3, Rawalpindi",159982,Domestic
MTR-96010792,U. Bukhari,H#99 St-29 Cantt Multan,164758,Domestic
MTR-27596534,Mian Maryam Durrani,"House No. 66, Gali 13, Satellite Town, Rawalpindi",14032,Commercial
MTR-67210295,Taimoor Afridi,"224-5 Cantt, Multan",16831,Commercial
MTR-78222499,Iqra Lodhi,"149-3 Cantt, Multan",5845,Domestic
MTR-22061707,Laiba Lodhi,"2-11 Bahria Phase 4, Rawalpindi",135105,Domestic
MTR-75635752,Noor Naqvi,"113-19 Gulberg III, Lahore",37719,Domestic
MTR-37326407,Haji Zubair Butt,"House No. 143, Gali 9, Cantt, Multan",123783,Domestic
MTR-64467002,Sardar Zara Gill,"House No. 189, Gali 21, Gulgasht, Multan",40542,Domestic
MTR-44658555,Malik Atif Sheikh,"House No. 183, Gali 15, Cantt, Multan",226246,Domestic
MTR-43247883,Chaudhary Asad Durrani,"House No. 196, Gali 17, Gulgasht, Multan",55935,Domestic
MTR-18857492,Noman Bukhari,"House 80, Street 29, Shah Rukn-e-Alam, Multan",5568,Domestic
MTR-14838693,Anas Ansari,"91-13 DHA Phase 6, Karachi",47077,Domestic
MTR-86255616,W. Ansari,H#352 St-39 UniversityTown Peshawar,313877,Domestic
MTR-44031562,Uzma Warraich,"270-9 B-17, Islamabad",35823,Domestic
MTR-38024674,Mian Ahmed Tareen,"House No. 23, Gali 9, Gulbahar, Peshawar",17714,Domestic
MTR-28032936,Haji Ahmed Khan,"House No. 278, Gali 22, Hayatabad Phase 3, Peshawar",9628,Domestic
MTR-21003430,W.Niazi,مکان 80 گلی 16 Model Town لاہور,195963,Domestic
MTR-86153758,Usman Qureshi,"House 53, Street 33, Madina Town, Faisalabad",32531,Commercial
MTR-96365163,Luqman Abbasi,"House 116, Street 25, Gulberg III, Lahore",58331,Commercial
MTR-78690775,Malik Ghulam Chaudhry,"House No. 61, Gali 24, Madina Town, Faisalabad",392045,Domestic
MTR-80433430,K.Siddiqui,مکان 373 گلی 18 Madina Town Faisalabad,37601,Domestic
MTR-18738677,Syed Ghulam Bhatti,"House No. 247, Gali 27, North Nazimabad, Karachi",10614,Commercial
MTR-82288074,Pervez Zaidi,"House 273, Street 35, North Nazimabad, Karachi",257123,Domestic
MTR-59905491,Kinza راجہ,"2-14 Chaklala Scheme 3, Rawalpindi",6030,Commercial
MTR-46995986,F.Sandhu,مکان 151 گلی 30 Hayatabad Phase 3 Peshawar,29364,Domestic
MTR-62308423,Imran Saddozai,"House 357, Street 10, Satellite Town, Rawalpindi",18058,Domestic
MTR-39231925,B. Bukhari,H#305 St-11 E-11/2 Islamabad,24974,Commercial
MTR-31081566,A.Gilani,مکان 77 گلی 12 University Town Peshawar,14114,Domestic
MTR-51435026,Obaid Durrani,"House 331, Street 1, Model Town, Lahore",3437,Domestic
MTR-82722660,L. Tareen,H#6 St-26 BahriaPhase4 Rawalpindi,135479,Domestic
MTR-79815373,D.Sial,مکان 48 گلی 34 Chaklala Scheme 3 راولپنڈی,242429,Commercial
MTR-69595430,Talha Saddozai,"House 40, Street 30, D Ground, Faisalabad",37206,Domestic
MTR-73808364,U. Sial,H#56 St-7 ChaklalaScheme3 Rawalpindi,15632,Commercial
MTR-88904612,Zainab Qureshi,"House 306, Street 1, F-8/3, Islamabad",11555,Domestic
MTR-86154619,Sajid Raja,"House 23, Street 37, D Ground, Faisalabad",21070,Domestic
MTR-31689291,Syed Ahmed Gill,"House No. 204, Gali 33, University Town, Peshawar",51009,Commercial
MTR-18039145,K. Mehsud,H#209 St-33 I-8/4 Islamabad,401061,Domestic
MTR-15204391,Mahnoor بٹ,"78-30 Johar Town, Lahore",13254,Domestic
MTR-40216008,Rashid Kakar,"257-34 Cantt, Multan",14995,Domestic
MTR-58173282,Z. Sandhu,H#21 St-25 MadinaTown Faisalabad,135295,Domestic
MTR-37000411,Z.Khan,مکان 281 گلی 6 Chaklala Scheme 3 راولپنڈی,19935,Domestic
MTR-26448983,Y. Kayani,H#333 St-9 UniversityTown Peshawar,48759,Domestic
MTR-36463870,Nasir Tarar,"349-9 Gulbahar, Peshawar",3176,Domestic
MTR-94346003,Tariq Mehsud,"House 135, Street 3, North Nazimabad, Karachi",5336,Domestic
MTR-43334670,A.Qureshi,مکان 82 گلی 37 Model Town لاہور,7117,Domestic
MTR-25386579,Chaudhary Salman Gill,"House No. 329, Gali 35, North Nazimabad, Karachi",372019,Commercial
MTR-75867760,Haris Warraich,"163-22 DHA Phase 5, Lahore",216008,Domestic
MTR-82123662,U.Butt,مکان 241 گلی 10 Peoples Colony Faisalabad,14133,Domestic
MTR-95484286,Ibrahim Sial,"House 28, Street 14, DHA Phase 6, Karachi",268200,Domestic
MTR-96143391,Sardar Kamran Lodhi,"House No. 153, Gali 29, Clifton Block 2, Karachi",14820,Domestic
MTR-10430704,J.Mughal,مکان 182 گلی 37 Shah Rukn-e-Alam Multan,155093,Domestic
MTR-23866987,Atif Wazir,"381-21 Gulbahar, Peshawar",148126,Domestic
MTR-72128681,Fahad Mehsud,"267-1 Gulshan-e-Iqbal, Karachi",5941,Commercial
MTR-53266435,Rana Hussain Dar,"House No. 216, Gali 35, Cantt, Multan",48934,Commercial
MTR-48190890,Gul Gilani,"187-2 I-8/4, Islamabad",415113,Domestic
MTR-75566886,Mian Obaid Tarar,"House No. 278, Gali 28, Gulberg III, Lahore",155255,Commercial
MTR-83472632,Saad Zaidi,"House 278, Street 28, Peoples Colony, Faisalabad",28227,Domestic
MTR-39548059,Salman Qureshi,"House 9, Street 40, B-17, Islamabad",5178,Domestic
MTR-19473226,Z.Afridi,مکان 342 گلی 19 Clifton Block 2 کراچی,396727,Commercial
MTR-67523832,B.Kayani,مکان 345 گلی 16 Model Town لاہور,35274,Domestic
MTR-40407124,S.Saddozai,مکان 172 گلی 11 Madina Town Faisalabad,15535,Domestic
MTR-45093976,M. Khattak,H#296 St-28 CliftonBlock2 Karachi,6874,Domestic
MTR-48561656,W. Sial,H#364 St-9 SatelliteTown Rawalpindi,11685,Domestic
MTR-39317789,Waqas Bhatti,"48-2 Satellite Town, Rawalpindi",434005,Domestic
MTR-68158754,A.Virk,مکان 376 گلی 9 B-17 اسلام آباد,156444,Domestic
MTR-92948505,Umar Rizvi,"House 372, Street 25, Hayatabad Phase 3, Peshawar",9587,Domestic
MTR-17466509,علی Afridi,"57-30 Peoples Colony, Faisalabad",18330,Domestic
